,Unnamed: 0,차종,엔진형식,과급방식,연료,배기량,최고출력,최대토크,연비_x,CO₂ 배출량,전장/전폭,전고/축거,윤거전/후,공차중량,전륜타이어,후륜타이어,구동방식,변속기,전륜서스펜션,후륜서스펜션,전륜제동장치,후륜제동장치,스티어링,출력,토크,주행거리,용량,타입,최고속도,가속성능,풀네임,주행,가격,거주성,품질,디자인,연비_y,종합점수,연도,차이름,브랜드,배기량_num,차급
56,58,2014 제네시스 쿠페,I4 터보,싱글터보,가솔린,"1,998cc",275hp,38kg.m,,177~180g/km,"4,630mm / 1,865mm","1,385mm / 2,820mm","1,601~1,605mm / 1,621~1,625mm","1,525~1,550kg",225mm / 40~45 / 18~19inch,245mm / 40~45 / 18~19inch,앞엔진 후륜 구동,"수동6단, 자동8단",듀얼 맥퍼슨,멀티 링크,V디스크,디스크,랙 앤드 피니언,,,,,,,,2014 제네시스 제네시스 쿠페,9.1,9.0,7.2,8.2,9.2,5.0,7.9,2014,제네시스 제네시스 쿠페,제네시스,1.0,경차
58,60,2015 맥스크루즈,I4 직분사 디젤,싱글터보,디젤,"2,199cc",200hp,44.5kg.m,,168g/km,"4,915mm / 1,885mm","1,690mm / 2,800mm","1,628mm / 1,639mm","1,840kg",235mm / 55 / 19inch,235mm / 55 / 19inch,앞엔진 전륜 구동,토크컨버터6단,맥퍼슨 스트럿,멀티링크,디스크,디스크,랙 앤 피니언,,,,,,,,2015 현대 맥스크루즈,9.2,8.8,9.3,8.8,8.7,8.1,8.8,2015,현대 맥스크루즈,현대,2.0,경차
59,61,2023 BMW i7,,,전기,,,,,,"5,390mm / 1,950mm","1,545mm / 3,215mm","1,665mm / 1,648mm","2,750kg",255mm / 40 / 21inch,285mm / 35 / 21inch,상시사륜 구동,자동1단,더블 위시본,멀티링크,V디스크,V디스크,랙 앤 피니언,400kW536.4hp (단순환산치),745Nm76.0kg.m (단순환산치),438km,105.7kWh,리튬 이온,240km/h,4.7초,2023 BMW i7,10.0,9.3,9.9,9.9,9.9,10.0,9.8,2023,BMW i7,BMW,,대형/프리미엄
61,63,2014 BMW 1시리즈,I4 2.0,싱글터보,디젤,"1,995cc",184hp,38.7kg.m,,103g/km,"4,324mm / 1,765mm","1,421mm / 2,690mm","1,535mm / 1,569mm","1,365kg",205~225mm / 40~55 / 16~18inch,205~245mm / 35~55 / 16~18inch,앞엔진 후륜 구동,자동8단,맥퍼슨 스트럿,멀티링크,V디스크,V디스크,랙 앤 피니언,,,,,,228km/h,7.1초,2014 BMW 1시리즈,9.7,9.0,7.4,9.1,9.0,9.7,9.0,2014,BMW 1시리즈,BMW,1.0,경차
62,64,2024 싼타페,I4,싱글터보,가솔린,"2,497cc",281hp,43kg.m,,152~168g/km,"4,830mm / 1,900mm","1,720~1,780mm / 2,815mm","1,643~1,646mm / 1,653~1,656mm","1,795~1,865kg",235~245mm / 45~60 / 18~21inch,235~245mm / 45~60 / 18~21inch,앞엔진 전륜 구동,DCT8단,맥퍼슨 스트럿,멀티링크,V디스크,디스크,랙 앤 피니언,,,,,,,,2024 현대 싼타페,9.5,8.5,9.6,9.1,8.7,6.8,8.7,2024,현대 싼타페,현대,2.0,경차
63,65,2018 렉서스 CT 하이브리드,V6,자연흡기,가솔린,"3,456cc",299hp 합산 359hp,35.7kg.m,,155g/km,"4,760mm / 1,920mm","1,345mm / 2,870mm","1,630mm / 1,635mm","2,010kg",245mm / 40 / 21inch,275mm / 35 / 21inch,앞엔진 후륜 구동,CVT,멀티링크,멀티링크,V디스크,V디스크,랙 앤 피니언,,,,,,,,2018 렉서스 CT 하이브리드,9.2,8.3,8.8,9.6,9.4,9.7,9.2,2018,렉서스 CT 하이브리드,렉서스,3.0,경차
64,66,2017 메르세데스-벤츠 GLE,V6 직분사,싱글터보,디젤,"2,987cc",258hp,63.2kg.m,,200g/km,"4,830mm / 1,935mm","1,770mm / 2,915mm","1,645mm / 1,655mm","2,350kg",265mm / 45 / 20inch,265mm / 45 / 20inch,상시사륜 구동,토크컨버터9단,더블 위시본,멀티링크,V디스크,V디스크,랙 앤 피니언,,,,,,225km/h,7.1초,2017 메르세데스-벤츠 GLE,9.4,8.1,8.8,9.1,9.5,8.2,8.8,2017,메르세데스-벤츠 GLE,메르세데스-벤츠,2.0,경차
65,68,2015 메르세데스-AMG SLK,V8,자연흡기,가솔린,"5,461cc",421hp,55kg.m,,195g/km,"4,140mm / 1,820mm","1,315mm / 2,430mm","1,565mm / 1,565mm","1,630kg",235mm / 40 / 18inch,255mm / 35 / 18inch,앞엔진 후륜 구동,자동7단,3링크,멀티링크,V디스크,디스크,랙 앤 피니언,,,,,,250km/h,4.6초,2015 메르세데스-벤츠 AMG SLK,8.5,9.1,6.8,9.0,9.6,7.9,8.5,2015,메르세데스-벤츠 AMG SLK,메르세데스-벤츠,5.0,경차
66,69,2024 쏘렌토 하이브리드,I4,싱글터보,가솔린,"1,598cc",180hp 합산 235hp,27kg.m 합산 35.7kg.m,,102g/km,"4,815mm / 1,900mm","1,695~1,700mm / 2,815mm","1,646~1,651mm / 1,656~1,661mm","1,815~1,830kg",235mm / 60~65 / 17~18inch,235mm / 60~65 / 17~18inch,앞엔진 전륜 구동,자동6단,맥퍼슨 스트럿,멀티링크,V디스크,V디스크,랙 앤 피니언,,,,,,,,2024 기아 쏘렌토 하이브리드,9.3,7.6,9.4,9.1,9.7,9.1,9.0,2024,기아 쏘렌토 하이브리드,기아,1.0,경차
67,70,2018 카니발,l4,싱글터보,디젤,"2,199cc",199hp,45kg.m,,180g/km,"5,115mm / 1,985mm","1,740mm / 3,060mm","1,735mm / 1,742mm","2,140kg",235mm / 55 / 19inch,235mm / 55 / 19inch,앞엔진 전륜 구동,자동6단,맥퍼슨 스트럿,멀티 링크,V디스크,디스크,랙 앤 피니언,,,,,,,,2018 기아 카니발,8.8,8.5,8.9,8.4,8.9,7.2,8.4,2018,기아 카니발,기아,2.0,경차
