,Unnamed: 0,차종,엔진형식,과급방식,연료,배기량,최고출력,최대토크,연비_x,CO₂ 배출량,전장/전폭,전고/축거,윤거전/후,공차중량,전륜타이어,후륜타이어,구동방식,변속기,전륜서스펜션,후륜서스펜션,전륜제동장치,후륜제동장치,스티어링,출력,토크,주행거리,용량,타입,최고속도,가속성능,풀네임,주행,가격,거주성,품질,디자인,연비_y,종합점수,연도,차이름,브랜드,배기량_num,차급
258,273,2021 스팅어,I4,싱글터보,가솔린,"2,497cc",304hp,43kg.m,,151~156g/km,"4,830mm / 1,870mm","1,400mm / 2,905mm","1,596mm / 1,619~1,647mm","1,690~1,705kg",225mm / 40~45 / 18~19inch,225~255mm / 35~45 / 18~19inch,앞엔진 후륜 구동,자동8단,맥퍼슨 스트럿,멀티링크,V디스크,디스크,랙 앤 피니언,,,,,,,,2021 기아 스팅어,9.7,8.7,8.5,8.4,9.8,6.0,8.5,2021,기아 스팅어,기아,2.0,경차
260,275,2023 셀토스,I4,싱글터보,가솔린,"1,598cc",198hp,27kg.m,,130~142g/km,"4,390mm / 1,800mm","1,600~1,620mm / 2,630mm","1,560~1,575mm / 1,568~1,584mm","1,360~1,405kg",205~235mm / 45~60 / 16~18inch,205~235mm / 45~60 / 16~18inch,앞엔진 전륜 구동,자동8단,맥퍼슨 스트럿,CTBA,디스크,디스크,랙 앤 피니언,,,,,,,,2023 기아 셀토스,9.1,8.1,8.9,8.8,9.5,7.3,8.6,2023,기아 셀토스,기아,1.0,경차
261,276,2020 K9,V6,트윈터보,가솔린,"3,342cc",370hp,52kg.m,,199g/km,"5,120mm / 1,915mm","1,490mm / 3,105mm","1,639mm / 1,639mm","2,015kg",245mm / 45 / 19inch,275mm / 40 / 19inch,앞엔진 후륜 구동,자동8단,멀티 링크,멀티 링크,V디스크,V디스크,랙 앤 피니언,,,,,,,,2020 기아 K9,9.5,9.3,9.5,9.2,9.1,6.7,8.9,2020,기아 K9,기아,3.0,경차
264,279,2023 BMW 3시리즈 투어링,I4,싱글터보,가솔린,"1,998cc",184hp,30.6kg.m,,155g/km,"4,715mm / 1,825mm","1,440mm / 2,850mm","1,573mm / 1,568mm","1,740kg",225mm / 40~50 / 17~19inch,225~255mm / 35~50 / 17~19inch,앞엔진 후륜 구동,자동8단,더블 조인트 스트럿,5링크,V디스크,V디스크,랙 앤 피니언,,,,,,230km/h,7.6초,2023 BMW 3시리즈 투어링,9.8,8.5,8.6,9.4,9.7,8.7,9.1,2023,BMW 3시리즈 투어링,BMW,1.0,경차
265,280,2014 쏘렌토,I4 2.0,싱글터보,디젤,"1,995cc",184hp,41kg.m,,137g/km,"4,685mm / 1,885mm","1,745mm / 2,700mm","1,621mm / 1,618mm","1,776kg",235mm / 55 / 19inch,235mm / 55 / 19inch,앞엔진 전륜 구동,자동6단,맥퍼슨 스트럿,멀티링크,디스크,디스크,랙 앤 피니언,,,,,,,,2014 기아 쏘렌토,8.9,8.8,8.7,8.8,8.7,8.2,8.7,2014,기아 쏘렌토,기아,1.0,경차
266,281,2017 K9,V6 3.3,자연흡기,가솔린,"3,342cc",300hp,35.5kg.m,,195~197g/km,"5,095mm / 1,900mm","1,490mm / 3,045mm",,"1,920~1,935kg",245mm / 45~50 / 18~19inch,245~275mm / 40~50 / 18~19inch,앞엔진 후륜 구동,자동8단,멀티링크,멀티링크,V디스크,V디스크,랙 앤 피니언,,,,,,,,2017 기아 K9,9.4,9.0,9.5,9.2,8.5,6.6,8.7,2017,기아 K9,기아,3.0,경차
268,283,2019 쏘렌토,l4,싱글터보,디젤,"1,995cc",186hp,41kg.m,,138~160g/km,"4,800mm / 1,890mm","1,685~1,690mm / 2,780mm","1,628mm / 1,639mm","1,825~1,915kg",235mm / 55~60 / 18~19inch,235mm / 55~60 / 18~19inch,"앞엔진 전륜 구동, 상시사륜 구동",자동8단,맥퍼슨 스트럿,멀티링크,V디스크,디스크,랙 앤 피니언,,,,,,,,2019 기아 쏘렌토,9.2,8.8,9.1,8.9,9.1,8.2,8.9,2019,기아 쏘렌토,기아,1.0,경차
271,287,2023 메르세데스-EQ EQE SUV,,,전기,,,,,,"4,865mm / 1,940mm","1,685mm / 3,030mm","1,649mm / 1,662mm","2,510kg",255mm / 45 / 20inch,255mm / 45 / 20inch,상시사륜 구동,자동1단,멀티링크,멀티링크,V디스크,V디스크,랙 앤 피니언,215kW288.3hp (단순환산치),765Nm78.0kg.m (단순환산치),404km,88.4kWh,리튬 이온,210km/h,6.6초,2023 메르세데스-벤츠 EQE SUV,9.9,8.9,9.7,9.2,9.1,9.6,9.4,2023,메르세데스-벤츠 EQE SUV,메르세데스-벤츠,,대형/프리미엄
276,292,2022 QM6,I4,자연흡기,가솔린,"1,997cc",144hp,20.4kg.m,,140~146g/km,"4,675mm / 1,845mm","1,670mm / 2,705mm","1,595mm / 1,590mm","1,535~1,570kg",225mm / 55~65 / 17~19inch,225mm / 55~65 / 17~19inch,앞엔진 전륜 구동,CVT,맥퍼슨 스트럿,멀티 링크,V디스크,V디스크,랙 앤 피니언,,,,,,,,2022 르노코리아 QM6,8.7,9.4,8.9,8.7,9.3,7.9,8.8,2022,르노코리아 QM6,르노코리아,1.0,경차
280,297,2018 코나 일렉트릭,,,전기,,,,,,"4,180mm / 1,800mm","1,570mm / 2,600mm","1,564mm / 1,575mm","1,685kg",215mm / 55 / 17inch,215mm / 55 / 17inch,앞엔진 전륜 구동,자동,맥퍼슨 스트럿,멀티링크,디스크,디스크,랙 앤 피니언,150kW201.2hp (단순환산치),395Nm40.3kg.m (단순환산치),406km,64kWh,리튬 이온 폴리머,,,2018 현대 코나 일렉트릭,9.4,7.7,7.3,7.7,8.0,8.8,8.2,2018,현대 코나 일렉트릭,현대,,대형/프리미엄
282,299,2024 포터2 일렉트릭,,,전기,,,,,,"5,105mm / 1,740mm","1,970mm / 2,810mm","1,485mm / 1,320mm","1,940kg",195mm / 70 / 15inch,145mm / 0 / 13inch,뒤엔진 후륜 구동,자동1단,,,디스크,디스크,랙 앤 피니언,135kW181.0hp (단순환산치),395Nm40.3kg.m (단순환산치),211km,58.8kWh,리튬 이온,,,2024 현대 포터2 일렉트릭,9.0,7.7,7.7,8.2,7.6,7.0,7.5,2024,현대 포터2 일렉트릭,현대,,대형/프리미엄
285,302,2015 에쿠스 리무진,V8 직분사,자연흡기,가솔린,"5,038cc",416hp,52kg.m,,244g/km,"5,460mm / 1,900mm","1,495mm / 3,345mm","1,620mm / 1,627mm","2,150kg",245mm / 45 / 19inch,275mm / 40 / 19inch,앞엔진 후륜 구동,자동8단,멀티링크,멀티링크,V디스크,V디스크,랙 앤 피니언,,,,,,,,2015 현대 에쿠스 리무진,9.4,8.8,9.4,9.2,9.4,6.9,8.9,2015,현대 에쿠스 리무진,현대,5.0,경차
287,304,2019 K7 하이브리드,l4,자연흡기,가솔린,"2,359cc",159hp,21kg.m,,97g/km,"4,970mm / 1,870mm","1,470mm / 2,855mm","1,612mm / 1,620mm","1,680kg",225mm / 55 / 17inch,225mm / 55 / 17inch,앞엔진 전륜 구동,자동6단,,,,,,,,,,,,,2019 기아 K7 하이브리드,9.3,8.8,9.4,9.1,9.3,9.6,9.2,2019,기아 K7 하이브리드,기아,2.0,경차
288,305,2016 아슬란 ,V6 3.0,자연흡기,가솔린,"2,999cc",270hp,31.6kg.m,,188g/km,"4,970mm / 1,860mm","1,470mm / 2,845mm","1,606mm / 1,607mm","1,670kg",245mm / 45 / 18inch,245mm / 45 / 18inch,앞엔진 전륜 구동,자동6단,맥퍼슨 스트럿,멀티링크,V 디스크,디스크,랙 앤 피니언,,,,,,,,2016 현대 아슬란,9.5,9.2,9.6,9.4,8.9,6.8,8.9,2016,현대 아슬란,현대,2.0,경차
289,306,2018 모하비,V6,싱글터보,디젤,"2,959cc",260hp,57.1kg.m,,190~200g/km,"4,930mm / 1,915mm","1,810mm / 2,895mm","1,615mm / 1,625mm","2,115~2,285kg",265mm / 60 / 18inch,265mm / 60 / 18inch,"앞엔진 후륜 구동, 사륜 구동, 상시사륜 구동",자동8단,더블 위시본,멀티링크,디스크,디스크,랙 앤 피니언,,,,,,,,2018 기아 모하비,9.3,8.2,8.7,9.0,9.2,6.6,8.5,2018,기아 모하비,기아,2.0,경차
291,308,2024 아이오닉 5 N,,,전기,,,,,,"4,715mm / 1,940mm","1,585mm / 3,000mm","1,667mm / 1,672mm","2,200kg",275mm / 35 / 21inch,275mm / 35 / 21inch,상시사륜 구동,자동1단,맥퍼슨 스트럿,멀티링크,V디스크,V디스크,랙 앤 피니언,478kW641.0hp (단순환산치),770Nm78.5kg.m (단순환산치),351km,84kWh,리튬 이온,,,2024 현대 아이오닉 5 N,10.0,9.1,9.8,9.0,9.4,7.0,9.0,2024,현대 아이오닉 5 N,현대,,대형/프리미엄
292,309,2015 벨로스터,I4 직분사,자연흡기,가솔린,"1,591cc",140hp,17kg.m,,129~140g/km,"4,220mm / 1,790mm","1,400mm / 2,650mm","1,564mm / 1,574mm","1,225~1,250kg",215mm / 45 / 17inch,215mm / 45 / 17inch,앞엔진 전륜 구동,"수동6단, 자동6단, DCT6단",맥퍼슨 스트럿,토션빔 액슬,V디스크,디스크,랙 앤 피니언,,,,,,,,2015 현대 벨로스터,8.7,8.2,6.4,7.5,9.3,6.8,7.8,2015,현대 벨로스터,현대,1.0,경차
294,311,2024 ST1,,,전기,,,,,,"5,625mm / 2,015mm","2,230mm / 3,500mm","1,732mm / 1,756mm","2,365kg",215mm / 65 / 17inch,215mm / 65 / 17inch,앞엔진 전륜 구동,자동1단,맥퍼슨 스트럿,리프 스프링,V디스크,디스크,랙 앤 피니언,160kW214.6hp (단순환산치),350Nm35.7kg.m (단순환산치),317km,76.1kWh,리튬 이온,,,2024 현대 ST1,9.2,5.4,6.6,6.1,8.0,8.8,7.3,2024,현대 ST1,현대,,대형/프리미엄
295,312,2020 포터2,l4,싱글터보,디젤,"2,497cc",133hp,26.5kg.m,,195~216g/km,"4,775~5,155mm / 1,740mm","1,970mm / 2,430~2,640mm","1,485mm / 1,320mm","1,800~1,845kg",195mm / 70 / 15inch,145mm / 0 / 13inch,앞엔진 후륜 구동,"수동6단, 자동5단",,,,,,,,,,,,,2020 현대 포터2,8.3,7.6,7.3,7.6,7.5,6.6,7.5,2020,현대 포터2,현대,2.0,경차
298,315,2021 G90L,V8,자연흡기,가솔린,"5,038cc",425hp,53kg.m,,241g/km,"5,495mm / 1,915mm","1,505mm / 3,450mm","1,640mm / 1,639mm","2,270kg",245mm / 45 / 19inch,275mm / 40 / 19inch,상시사륜 구동,자동8단,멀티링크,멀티링크,V디스크,V디스크,랙 앤 피니언,,,,,,,,2021 제네시스 G90L,9.4,7.9,9.0,8.9,9.1,6.5,8.5,2021,제네시스 G90L,제네시스,5.0,경차
300,317,2020 렉서스 RX,V6,자연흡기,가솔린,"3,456cc",301hp,37.7kg.m,,193g/km,"4,890mm / 1,895mm","1,710mm / 2,790mm","1,640mm / 1,630mm","2,045kg",235mm / 55 / 20inch,235mm / 55 / 20inch,상시사륜 구동,자동8단,맥퍼슨 스트럿,더블 위시본,V디스크,V디스크,랙 앤 피니언,,,,,,,,2020 렉서스 RX,9.4,8.5,9.5,9.5,9.2,8.9,9.2,2020,렉서스 RX,렉서스,3.0,경차
301,318,2016 i30,l4,싱글터보,가솔린,"1,353cc",138hp,24.7kg.m,,127g/km,"4,340mm / 1,795mm","1,455mm / 2,650mm","1,553~1,559mm / 1,567~1,573mm","1,325kg",205~225mm / 45~55 / 16~17inch,205~225mm / 45~55 / 16~17inch,앞엔진 전륜 구동,DCT7단,맥퍼슨 스트럿,멀티 링크,디스크,디스크,랙 앤 피니언,,,,,,,,2016 현대 i30,9.3,7.7,7.7,8.9,9.4,8.2,8.5,2016,현대 i30,현대,1.0,경차
302,319,2023 K3,I4,자연흡기,가솔린,"1,598cc",123hp,15.7kg.m,,108~117g/km,"4,645mm / 1,800mm","1,440mm / 2,700mm","1,549~1,563mm / 1,558~1,572mm","1,240~1,260kg",195~225mm / 45~65 / 15~17inch,195~225mm / 45~65 / 15~17inch,앞엔진 전륜 구동,CVT,맥퍼슨 스트럿,토션빔,디스크,디스크,랙 앤 피니언,,,,,,,,2023 기아 K3,9.3,9.0,9.0,9.1,9.6,8.9,9.1,2023,기아 K3,기아,1.0,경차
305,322,2023 렉서스 LC,V6,트윈터보,가솔린,"3,445cc",422hp,61.2kg.m,,220g/km,"5,235mm / 1,900mm","1,460mm / 3,125mm","1,635mm / 1,635mm","2,240~2,315kg",245mm / 45~50 / 19~20inch,245mm / 45~50 / 19~20inch,상시사륜 구동,자동10단,멀티링크,멀티링크,V디스크,V디스크,랙 앤 피니언,,,,,,,,2023 렉서스 LC,10.0,7.7,10.0,10.0,10.0,7.3,9.2,2023,렉서스 LC,렉서스,3.0,경차
306,323,2014 BMW X4,I4 직분사,싱글터보,디젤,"1,995cc",190hp,40~40.8kg.m,,,"4,671mm / 1,881mm","1,624mm / 2,810mm","0~1,616mm / 0~1,632mm","1,745kg",245mm / 45 / 19inch,245mm / 45 / 19inch,상시사륜 구동,자동8단,더블 조인트 스트럿,5링크,V디스크,V디스크,"랙 앤 피니언 , 랙 앤 피니언",,,,,,212km/h,8초,2014 BMW X4,9.3,8.3,8.3,9.1,9.7,8.6,8.9,2014,BMW X4,BMW,1.0,경차
308,325,2022 K5,I4,싱글터보,가솔린,"1,598cc",180hp,27kg.m,,122~127g/km,"4,905mm / 1,860mm","1,445mm / 2,850mm","1,618~1,623mm / 1,625~1,630mm","1,425~1,450kg",215~235mm / 45~55 / 17~18inch,215~235mm / 45~55 / 17~18inch,앞엔진 전륜 구동,자동8단,맥퍼슨 스트럿,멀티 링크,V디스크,디스크,랙 앤 피니언,,,,,,,,2022 기아 K5,9.0,8.1,8.8,8.4,9.7,7.8,8.6,2022,기아 K5,기아,1.0,경차
309,326,2014 렉서스 IS F 스포츠 ,V6 2.5 DOHC,자연흡기,가솔린,"2,499cc",207hp,25.5kg.m,,174g/km,"4,665mm / 1,810mm","1,430mm / 2,800mm","1,535mm / 1,540mm","1,640kg",225mm / 40 / 18inch,255mm / 35 / 18inch,앞엔진 후륜 구동,자동6단,더블 위시본,멀티링크,V디스크,V디스크,랙 앤 피니언,,,,,,,,2014 렉서스 IS F 스포츠,9.3,8.4,8.2,9.6,9.3,7.0,8.6,2014,렉서스 IS F 스포츠,렉서스,2.0,경차
310,327,2024 BMW 2시리즈 그란쿠페,I4,싱글터보,가솔린,"1,998cc",192hp,28.6kg.m,,151g/km,"4,525mm / 1,800mm","1,420mm / 2,670mm",,"1,525kg",225mm / 40~45 / 17~18inch,225mm / 40~45 / 17~18inch,앞엔진 전륜 구동,자동8단,싱글 조인트,멀티링크,V디스크,V디스크,랙 앤 피니언,,,,,,238km/h,7.1초,2024 BMW 2시리즈 그란쿠페,9.7,8.9,8.1,9.4,9.6,8.9,9.1,2024,BMW 2시리즈 그란쿠페,BMW,1.0,경차
311,328,2024 K9,V6,트윈터보,가솔린,"3,342cc",370hp,52kg.m,,199g/km,"5,140mm / 1,915mm","1,490mm / 3,105mm","1,639mm / 1,639mm","2,005kg",245mm / 45 / 19inch,275mm / 40 / 19inch,앞엔진 후륜 구동,자동8단,멀티링크,멀티링크,V디스크,V디스크,랙 앤 피니언,,,,,,,,2024 기아 K9,9.7,9.3,9.7,9.4,9.1,6.7,9.0,2024,기아 K9,기아,3.0,경차
312,329,2020 카니발 아웃도어,l4,싱글터보,디젤,"2,199cc",202hp,45kg.m,,189g/km,"5,115mm / 1,985mm","2,040mm / 3,060mm","1,735mm / 1,742mm","2,230kg",235mm / 55 / 19inch,235mm / 55 / 19inch,앞엔진 전륜 구동,자동8단,맥퍼슨 스트럿,멀티 링크,V디스크,디스크,랙 앤 피니언,,,,,,,,2020 기아 카니발 아웃도어,8.8,8.3,9.0,8.5,9.0,7.1,8.4,2020,기아 카니발 아웃도어,기아,2.0,경차
313,330,2021 BMW X5 M,V8,트윈터보,가솔린,"4,395cc",608~625hp,76.5kg.m,,258g/km,"4,940mm / 2,015mm","1,750mm / 2,970mm","1,699mm / 1,688mm","2,430kg",295mm / 35 / 21inch,315mm / 30 / 22inch,상시사륜 구동,자동8단,더블 위시본,멀티링크,V디스크,V디스크,랙 앤 피니언,,,,,,250km/h,3.8~3.9초,2020 BMW X5 M,9.9,8.1,8.4,9.0,9.4,6.0,8.5,2020,BMW X5 M,BMW,4.0,경차
314,331,2015 BMW 5시리즈,"l4 2.0, I4 2.0",싱글터보,디젤,"1,995cc",190hp,40.8kg.m,,120g/km,"4,907mm / 1,860mm","1,464mm / 2,968mm","0~1,600mm / 0~1,627mm","1,630kg",225~245mm / 45~55 / 17~18inch,225~245mm / 4~55 / 17~18inch,앞엔진 후륜 구동,자동8단,더블 위시본,멀티링크,V디스크,V디스크,랙 앤 피니언,,,,,,231~233km/h,7.7~7.9초,2015 BMW 5시리즈,9.6,8.9,8.7,9.2,9.5,8.7,9.1,2015,BMW 5시리즈,BMW,1.0,경차
315,332,2022 BMW X6,I6,싱글터보,디젤,"2,993cc",286hp,66.3kg.m,,181g/km,"4,935mm / 2,005mm","1,695mm / 2,975mm","1,678mm / 1,698mm","2,310kg",275mm / 40 / 21inch,315mm / 35 / 21inch,상시사륜 구동,토크컨버터8단,더블 위시본,멀티링크,V디스크,V디스크,랙 앤 피니언,,,,,,235km/h,6.1초,2022 BMW X6,9.8,8.2,8.6,9.4,9.9,7.9,9.0,2022,BMW X6,BMW,2.0,경차
316,333,2023 렉서스 LC 컨버터블,V8,자연흡기,가솔린,"4,969cc",477hp,55.1kg.m,,230g/km,"4,760mm / 1,920mm","1,350mm / 2,870mm","1,630mm / 1,635mm","2,060kg",245mm / 40 / 21inch,275mm / 35 / 21inch,앞엔진 후륜 구동,자동10단,멀티링크,멀티링크,V디스크,V디스크,랙 앤 피니언,,,,,,,,2023 렉서스 LC 컨버터블,10.0,7.7,10.0,10.0,10.0,7.3,9.2,2023,렉서스 LC 컨버터블,렉서스,4.0,경차
319,336,2014 BMW 3시리즈,I4 직분사 디젤,싱글터보,디젤,"1,995cc",184hp,38.8kg.m,,103g/km,"4,624mm / 1,811mm","1,429mm / 2,810mm","1,543mm / 1,583mm","1,430kg",225mm / 45~50 / 17~18inch,225mm / 45~50 / 17~18inch,앞엔진 후륜 구동,자동8단,맥퍼슨 스트럿,5링크,V디스크,V디스크,랙 앤 피니언,,,,,,230km/h,7.4초,2014 BMW 3시리즈,9.7,8.9,8.3,9.3,9.6,9.2,9.2,2014,BMW 3시리즈,BMW,1.0,경차
320,337,2022 G90 LWB,V6,트윈터보,가솔린,"3,470cc",415hp,56kg.m,,209g/km,"5,465mm / 1,930mm","1,490mm / 3,370mm","1,655mm / 1,660mm","2,295kg",245mm / 45 / 20inch,275mm / 40 / 20inch,상시사륜 구동,자동8단,멀티링크,멀티링크,V디스크,V디스크,랙 앤 피니언,,,,,,,,2022 제네시스 G90 LWB,9.6,8.5,9.7,9.4,9.3,8.6,9.2,2022,제네시스 G90 LWB,제네시스,3.0,경차
321,338,2015 SM3,I4,,가솔린,"1,598cc",117hp,16.1kg.m,,114g/km,"4,620mm / 1,810mm","1,475mm / 1,565mm","2,700mm / 1,545mm","1,195kg",205mm / 55~65 / 15~17inch,205mm / 55~65 / 15~17inch,앞엔진 전륜 구동,CVT,맥퍼슨 스트럿,토션빔 액슬,V디스크,디스크,랙 앤 피니언,,,,,,,,2015 르노코리아 SM3,7.9,8.6,8.0,8.0,8.0,8.2,8.1,2015,르노코리아 SM3,르노코리아,1.0,경차
322,339,2022 BMW X2,I4,싱글터보,디젤,"1,995cc",150hp,35.7kg.m,,140g/km,"4,360mm / 1,825mm","1,526mm / 2,670mm","1,563mm / 1,562mm","1,710kg",225mm / 45 / 19inch,225mm / 45 / 19inch,상시사륜 구동,토크컨버터8단,싱글 조인트 스프링 스트럿,멀티 링크,V디스크,V디스크,랙 앤 피니언,,,,,,206km/h,9.4초,2022 BMW X2,9.6,7.7,7.9,8.7,9.5,7.7,8.5,2022,BMW X2,BMW,1.0,경차
323,340,2024 테슬라 모델 3,,,전기,,,,,,"4,720mm / 1,935mm","1,440mm / 2,875mm","1,585mm / 1,585mm","1,760kg",235mm / 45 / 18inch,235mm / 45 / 18inch,뒤엔진 후륜 구동,자동1단,더블 위시본,멀티링크,V디스크,V디스크,랙 앤 피니언,208kW278.9hp (단순환산치),420Nm42.8kg.m (단순환산치),382km,59.6kWh,리튬 인산철,200km/h,6.1초,2024 테슬라 모델 3,9.9,8.8,8.7,7.9,9.4,9.3,9.0,2024,테슬라 모델 3,테슬라,,대형/프리미엄
325,342,2023 렉서스 ES 하이브리드,I4,자연흡기,가솔린,"2,487cc",178hp 합산 218hp,22.5kg.m,,91g/km,"4,975mm / 1,865mm","1,445mm / 2,870mm","1,590mm / 1,600mm","1,680kg",235mm / 45 / 18inch,235mm / 45 / 18inch,앞엔진 전륜 구동,CVT,맥퍼슨 스트럿,더블 위시본,V디스크,V디스크,랙 앤 피니언,,,,,,180km/h,,2023 렉서스 ES 하이브리드,9.6,8.9,9.6,9.7,9.6,9.8,9.5,2023,렉서스 ES 하이브리드,렉서스,2.0,경차
327,344,2014 렉서스 ES,V6,자연흡기,가솔린,"3,456cc",277hp,35.3kg.m,,173g/km,"4,900mm / 1,820mm","1,450mm / 2,820mm","1,590mm / 1,575mm","1,630kg",215~225mm / 45~55 / 17~18inch,215~225mm / 45~55 / 17~18inch,앞엔진 전륜 구동,자동6단,맥퍼슨 스트럿,듀얼링크 스트럿,V디스크,V디스크,랙 앤드 피니언,,,,,,,,2014 렉서스 ES,9.5,9.2,9.6,9.8,8.9,9.4,9.4,2014,렉서스 ES,렉서스,3.0,경차
329,346,2024 쏘나타,I4,싱글터보,가솔린,"1,598cc",180hp,27kg.m,,123~138g/km,"4,910mm / 1,860mm","1,445mm / 2,840mm","1,610~1,623mm / 1,617~1,630mm","1,490~1,540kg",215~245mm / 40~55 / 17~19inch,215~245mm / 40~55 / 17~19inch,앞엔진 전륜 구동,자동8단,맥퍼슨 스트럿,멀티 링크,V디스크,디스크,랙 앤 피니언,,,,,,,,2024 현대 쏘나타,9.5,8.1,9.4,9.1,9.6,8.6,9.0,2024,현대 쏘나타,현대,1.0,경차
330,347,2021 BMW M3,I6,트윈터보,가솔린,"2,993cc",510hp,66.3kg.m,,208g/km,"4,795mm / 1,905mm","1,440mm / 2,855mm",,"1,755kg",275mm / 35 / 19inch,285mm / 30 / 20inch,앞엔진 후륜 구동,자동8단,맥퍼슨 스트럿,멀티링크,V디스크,V디스크,랙 앤 피니언,,,,,,250km/h,3.9초,2021 BMW M3,9.6,8.0,8.1,9.1,9.0,6.9,8.4,2021,BMW M3,BMW,2.0,경차
331,348,2023 G70 슈팅브레이크,I4,싱글터보,가솔린,"2,497cc",304hp,43kg.m,,154g/km,"4,685mm / 1,850mm","1,400mm / 2,835mm","1,596mm / 1,632mm","1,695kg",225mm / 45 / 18inch,225mm / 45 / 18inch,앞엔진 후륜 구동,자동8단,맥퍼슨 스트럿,멀티링크,V디스크,V디스크,랙 앤 피니언,,,,,,,,2023 제네시스 G70 슈팅브레이크,9.6,7.9,7.8,9.1,9.4,6.2,8.3,2023,제네시스 G70 슈팅브레이크,제네시스,2.0,경차
333,350,2023 코나 하이브리드,I4,자연흡기,가솔린,"1,580cc",105hp 합산 141hp,14.7kg.m,,79~87g/km,"4,350mm / 1,825mm","1,580~1,585mm / 2,660mm","1,591mm / 1,600mm","1,435~1,450kg",215mm / 55~60 / 17~18inch,215mm / 55~60 / 17~18inch,앞엔진 전륜 구동,DCT6단,맥퍼슨 스트럿,멀티링크,디스크,디스크,랙 앤 피니언,,,,,,,,2023 현대 코나 하이브리드,9.4,6.7,9.0,9.1,9.5,9.4,8.9,2023,현대 코나 하이브리드,현대,1.0,경차
334,351,2022 K5 하이브리드,I4,자연흡기,가솔린,"1,999cc",152hp 합산 195hp,19.2kg.m,,79~83g/km,"4,905mm / 1,860mm","1,445mm / 2,850mm","1,623~1,633mm / 1,630~1,640mm","1,495~1,515kg",205~215mm / 55~65 / 16~17inch,205~215mm / 55~65 / 16~17inch,앞엔진 전륜 구동,자동6단,맥퍼슨 스트럿,멀티 링크,V디스크,디스크,랙 앤 피니언,,,,,,,,2022 기아 K5 하이브리드,9.2,8.0,8.9,8.7,9.7,9.5,9.0,2022,기아 K5 하이브리드,기아,1.0,경차
335,352,2023 BMW 3시리즈,I4,싱글터보,가솔린,"1,998cc",184hp,30.6kg.m,,149g/km,"4,715mm / 1,825mm","1,440mm / 2,850mm","1,573mm / 1,568mm","1,635kg",225mm / 40~50 / 17~19inch,225~255mm / 35~50 / 17~19inch,앞엔진 후륜 구동,자동8단,더블 조인트 스트럿,5링크,V디스크,V디스크,랙 앤 피니언,,,,,,235km/h,7.4초,2023 BMW 3시리즈,9.8,8.5,8.6,9.4,9.7,8.7,9.1,2023,BMW 3시리즈,BMW,1.0,경차
336,353,2022 메르세데스-AMG CLA,I4,싱글터보,가솔린,"1,991cc",421hp,51kg.m,,194g/km,"4,695mm / 1,855mm","1,405mm / 2,730mm","1,604mm / 1,585mm","1,700kg",255mm / 35 / 19inch,255mm / 35 / 19inch,상시사륜 구동,DCT8단,맥퍼슨 스트럿,멀티링크,V디스크,V디스크,랙 앤 피니언,,,,,,270km/h,4초,2022 메르세데스-벤츠 AMG CLA,9.6,7.7,8.0,8.7,9.9,8.1,8.7,2022,메르세데스-벤츠 AMG CLA,메르세데스-벤츠,1.0,경차
337,354,2023 BMW i4,,,전기,,,,,,"4,785mm / 1,850mm","1,450mm / 2,855mm",,"2,110kg",245mm / 40 / 19inch,255mm / 40 / 19inch,뒤엔진 후륜 구동,자동1단,더블 조인트 스트럿,멀티링크,V디스크,V디스크,랙 앤 피니언,250kW335.3hp (단순환산치),430Nm43.8kg.m (단순환산치),429km,84kWh,리튬 이온,190km/h,5.7초,2023 BMW i4,9.9,9.1,8.1,9.6,9.8,9.3,9.3,2023,BMW i4,BMW,,대형/프리미엄
338,355,2019 BMW M3,l6,트윈터보,가솔린,"2,979cc",450~460hp,56.1~61.2kg.m,,184~190g/km,"4,671mm / 1,877mm","1,430mm / 2,812mm",,"1,645kg",265mm / 30 / 19~20inch,285mm / 30 / 20inch,앞엔진 후륜 구동,DCT7단,맥퍼슨 스트럿,멀티 링크,V디스크,V디스크,랙 앤 피니언,,,,,,250~280km/h,3.9~4초,2019 BMW M3,9.9,8.9,8.1,9.3,9.7,8.5,9.1,2019,BMW M3,BMW,2.0,경차
339,356,2017 BMW X5 ,l6,싱글터보,디젤,"2,993cc",258hp,57.1kg.m,,185g/km,"4,886mm / 1,938mm","1,762mm / 2,933mm","1,644mm / 1,650mm","2,205kg",255mm / 50 / 19inch,255mm / 50 / 19inch,상시사륜 구동,자동8단,더블 위시본,멀티링크,V디스크,V디스크,랙 앤 피니언,,,,,,,,2017 BMW X5,9.8,8.4,9.1,9.2,9.5,8.7,9.1,2017,BMW X5,BMW,2.0,경차
340,357,2017 렉서스 IS,l4,싱글터보,가솔린,"1,998cc",245hp,35.7kg.m,,170g/km,"4,680mm / 1,810mm","1,430mm / 2,800mm","1,535mm / 1,550mm","1,670kg",225mm / 45 / 17inch,225mm / 45 / 17inch,앞엔진 후륜 구동,자동8단,더블 위시본,멀티링크,V디스크,V디스크,랙 앤 피니언,,,,,,,,2017 렉서스 IS,9.3,8.4,8.2,9.6,9.3,7.0,8.6,2017,렉서스 IS,렉서스,1.0,경차
