,차종,엔진형식,과급방식,연료,배기량,최고출력,최대토크,연비,CO₂ 배출량,전장/전폭,전고/축거,윤거전/후,공차중량,전륜타이어,후륜타이어,구동방식,변속기,전륜서스펜션,후륜서스펜션,전륜제동장치,후륜제동장치,스티어링,출력,토크,주행거리,용량,타입,최고속도,가속성능
0,2017 쏘울,l4,자연흡기,가솔린,"1,591cc",130hp,16.4kg.m,"복합 11.9km/ℓ 도심 11km/ℓ, 고속 13.1km/ℓ",146g/km,"4,140mm / 1,800mm","1,600mm / 2,570mm","1,576mm / 1,588mm","1,290kg",205mm / 60 / 16inch,205mm / 60 / 16inch,앞엔진 전륜 구동,자동6단,맥퍼슨 스트럿,토션빔,V디스크,디스크,랙 앤 피니언,,,,,,,
1,2026 아이오닉 6 N,,,전기,,,,"복합 4.2km/kWh 도심 4.4km/kWh, 고속 4km/kWh",,"4,935mm / 1,940mm","1,495mm / 2,965mm","1,665mm / 1,676mm","2,175kg",275mm / 35 / 20inch,275mm / 35 / 20inch,상시사륜 구동,자동1단,맥퍼슨 스트럿,멀티링크,V디스크,V디스크,랙 앤 피니언,478kW641.0hp (단순환산치),770Nm78.5kg.m (단순환산치),387km,84kWh,리튬 이온,,
2,2008 투싼,2.0 VVT,,가솔린,"1,975cc",142hp,18.8kg.m,"복합 9.8km/ℓ 도심 0km/ℓ, 고속 0km/ℓ",,"4,325mm / 1,800mm","1,680mm / 2,630mm","1,540mm / 1,540mm",,215mm / 65 / 16inch,215mm / 65 / 16inch,앞엔진 전륜 구동,자동4단,맥퍼슨 스트럿,듀얼링크 코일스프링,디스크,드럼,랙 앤 피니언,,,,,,,
3,2025 BMW iX2,,,전기,,,,"복합 4.8km/kWh 도심 4.9km/kWh, 고속 4.7km/kWh",,"4,555mm / 1,830mm","1,560mm / 2,690mm","1,585mm / 1,587mm","1,965kg",245mm / 45 / 19inch,245mm / 45 / 19inch,뒤엔진 후륜 구동,자동1단,더블 조인트 스트럿,멀티링크,V디스크,V디스크,랙 앤 피니언,150kW201.2hp (단순환산치),250Nm25.5kg.m (단순환산치),350km,64.7kWh,리튬 이온,170km/h,8.6초
4,2012 엑센트 위트,I4 1.4,,가솔린,"1,396cc",108hp,13.9kg.m,"복합 13.3~14.3km/ℓ 도심 0km/ℓ, 고속 0km/ℓ",120~129g/km,"4,115mm / 1,705mm","1,455mm / 2,570mm","1,506mm / 1,511mm","1,040~1,065kg",175mm / 70 / 14inch,175mm / 70 / 14inch,앞엔진 전륜 구동,"수동5단, 자동4단",맥퍼슨 스트럿,토션빔 액슬,디스크,디스크,랙 앤 피니언,,,,,,,
5,2023 테슬라 모델 3,,,전기,,,,"복합 5.7km/kWh 도심 0km/kWh, 고속 0km/kWh",,"4,695mm / 1,935mm","1,430mm / 2,875mm","1,580mm / 1,580mm","1,750kg",235mm / 45 / 18inch,235mm / 45 / 18inch,뒤엔진 후륜 구동,자동1단,더블 위시본,멀티링크,V디스크,V디스크,랙 앤 피니언,208kW278.9hp (단순환산치),353Nm36.0kg.m (단순환산치),403km,50kWh,리튬 인산철,225km/h,6.1초
6,2011 쏘울,1.6 VGT,,디젤,"1,582cc",128hp,26.5kg.m,"복합 17.5~19.8km/ℓ 도심 0km/ℓ, 고속 0km/ℓ",135~170g/km,"4,105mm / 1,785mm","1,610~1,660mm / 2,550mm","1,570mm / 1,575mm","1,270~1,285kg",195~225mm / 45~65 / 15~18inch,195~225mm / 45~65 / 15~18inch,앞엔진 전륜 구동,"수동5단, 자동4단",맥퍼슨 스트럿,토션빔 액슬,디스크,"드럼,디스크",랙 앤 피니언,,,,,,,
7,2022 BMW 2시리즈,I6,싱글터보,가솔린,"2,998cc",387hp,51kg.m,"복합 9.6km/ℓ 도심 8.3km/ℓ, 고속 12km/ℓ",177g/km,"4,560mm / 1,825mm","1,405mm / 2,740mm","1,575mm / 1,587mm","1,719kg",225mm / 40 / 19inch,255mm / 35 / 19inch,상시사륜 구동,자동8단,더블 조인트,5링크,V디스크,V디스크,랙 앤 피니언,,,,,,250km/h,4.3초
8,2016 메르세데스-벤츠 GLE,I4 직분사,싱글터보,디젤,"2,143cc",204hp,51kg.m,"복합 11.1km/ℓ 도심 10.4km/ℓ, 고속 12.2km/ℓ",173g/km,"4,830mm / 1,935mm","1,770mm / 2,915mm","1,645mm / 1,655mm","2,280kg",255mm / 50 / 19inch,255mm / 50 / 19inch,상시사륜 구동,토크컨버터9단,더블 위시본,멀티링크,V디스크,V디스크,랙 앤 피니언,,,,,,212.4km/h,8.6초
9,2003 쎄라토,1.5가솔린,,가솔린,"1,495cc",107hp,13.8kg.m,"복합 14.6km/ℓ 도심 0km/ℓ, 고속 0km/ℓ",,"4,480mm / 1,735mm","1,470mm / 2,610mm","1,495mm / 1,485mm","1,170kg",185~195mm / 60~65 / 15inch,185~195mm / 60~65 / 15inch,앞엔진 전륜 구동,수동5단,맥퍼슨 스트럿,듀얼링크,V디스크,"드럼,디스크",랙 앤 피니언,,,,,,191km/h,
10,2018 메르세데스-벤츠 CLA,I4,싱글터보,가솔린,"1,991cc",184hp,30.6kg.m,"복합 11.5km/ℓ 도심 10.1km/ℓ, 고속 13.7km/ℓ",151g/km,"4,665mm / 1,775mm","1,435mm / 2,700mm","1,555mm / 1,555mm","1,510kg",225mm / 40 / 18inch,225mm / 40 / 18inch,앞엔진 전륜 구동,DCT7단,맥퍼슨 스트럿,멀티링크,V디스크,V디스크,랙 앤 피니언,,,,,,240km/h,9.8초
11,2015 렉서스 LS,V8,자연흡기,가솔린,"4,608cc",380hp,51kg.m,"복합 8km/ℓ 도심 6.7km/ℓ, 고속 10.3km/ℓ",226g/km,"5,090mm / 1,875mm","1,465mm / 2,970mm","1,610mm / 1,615mm","2,030kg",235mm / 50 / 18inch,235mm / 50 / 18inch,앞엔진 후륜 구동,자동8단,멀티링크,멀티링크,V디스크,V디스크,랙 앤 피니언,,,,,,,
12,2011 렉서스 LS,V8,자연흡기,가솔린,"4,608cc",380hp,51kg.m,"복합 8.8km/ℓ 도심 0km/ℓ, 고속 0km/ℓ",266g/km,"5,060mm / 1,875mm","1,465mm / 2,970mm","1,610mm / 1,615mm","2,030kg",235~245mm / 45~50 / 18~19inch,235~245mm / 45~50 / 18~19inch,앞엔진 후륜 구동,자동8단,멀티링크 코일스프링,멀티링크 코일스프링,V디스크,V디스크,랙 앤 피니언,,,,,,,
13,1998 크레도스 파크타운,4기통,,가솔린,"1,793cc",130hp,17kg.m,"복합 0~12.8km/ℓ 도심 0km/ℓ, 고속 0km/ℓ",,"4,760mm / 1,780mm","1,400mm / 2,655mm","1,505mm / 1,510mm",,195mm / 70 / 14inch,195mm / 70 / 14inch,앞엔진 전륜 구동,"수동5단, 자동4단",맥퍼슨 스트럿,듀얼링크 코일스프링,디스크,드럼,랙 앤 피니언,,,,,,194km/h,
14,2025 테슬라 모델 S,,,전기,,,,"복합 4.8km/kWh 도심 5km/kWh, 고속 4.6km/kWh",,"5,021mm / 1,987mm","1,431mm / 2,960mm","1,690mm / 1,690mm","2,070kg",255mm / 45 / 19inch,285mm / 40 / 19inch,상시사륜 구동,자동1단,더블 위시본,멀티링크,V디스크,V디스크,랙 앤 피니언,500kW670.5hp (단순환산치),,555km,100kWh,리튬 이온,240km/h,3.2초
15,2016 렉서스 ES,V6 Dual VVT-i,,가솔린,"3,456cc",277hp,35.3kg.m,"복합 10.2km/ℓ 도심 8.8km/ℓ, 고속 12.8km/ℓ",173g/km,"4,900mm / 1,820mm","1,450mm / 2,820mm","1,590mm / 1,575mm","1,630kg",215~225mm / 45~55 / 17~18inch,215~225mm / 45~55 / 17~18inch,앞엔진 전륜 구동,자동6단,맥퍼슨 스트럿,듀얼링크 코일스프링,V디스크,V디스크,랙 앤 피니언,,,,,,,
16,2023 BMW M8,V8,트윈터보,가솔린,"4,395cc",625hp,76.5kg.m,"복합 7.6km/ℓ 도심 6.7km/ℓ, 고속 8.9km/ℓ",230g/km,"4,865mm / 1,905mm","1,380mm / 2,827mm",,"1,920kg",275mm / 35 / 20inch,285mm / 35 / 20inch,상시사륜 구동,자동8단,더블 위시본,멀티링크,V디스크,V디스크,랙 앤 피니언,,,,,,305km/h,3.2초
17,2025 BMW M4 컨버터블,I6,트윈터보,가솔린,"2,993cc",530hp,66.3kg.m,"복합 8.2km/ℓ 도심 7.1km/ℓ, 고속 10.1km/ℓ",210g/km,"4,795mm / 1,885mm","1,400mm / 2,855mm","1,617mm / 1,605mm","1,955kg",275mm / 35 / 19inch,285mm / 30 / 20inch,상시사륜 구동,자동8단,맥퍼슨 스트럿,멀티링크,V디스크,V디스크,랙 앤 피니언,,,,,,250km/h,3.7초
18,2023 BMW iX,,,전기,,,,"복합 3.6km/kWh 도심 3.5km/kWh, 고속 3.6km/kWh",,"4,955mm / 1,965mm","1,695mm / 3,000mm","1,659mm / 1,688mm","2,575kg",275mm / 40 / 22inch,275mm / 40 / 22inch,상시사륜 구동,자동1단,더블 위시본,멀티링크,V디스크,V디스크,랙 앤 피니언,385kW516.3hp (단순환산치),765Nm78.0kg.m (단순환산치),447km,111.5kWh,리튬 이온,200km/h,4.6초
19,2022 렉서스 UX 하이브리드,I4,자연흡기,가솔린,"2,487cc",189hp 합산 242hp,24.7kg.m,"복합 14km/ℓ 도심 14.3km/ℓ, 고속 13.6km/ℓ",114g/km,"4,660mm / 1,865mm","1,670mm / 2,690mm","1,605mm / 1,625mm","1,850kg",235mm / 50 / 20inch,235mm / 50 / 20inch,상시사륜 구동,CVT,맥퍼슨 스트럿,더블 위시본,V디스크,V디스크,랙 앤 피니언,,,,,,,
20,1996 포터,I4,싱글터보,디젤,"2,607cc",83hp,17kg.m,,,"5,075mm / 1,690mm","1,930mm / 2,607mm",,"1,630kg",185mm / 70 / 14inch,145mm / 0 / 12inch,앞엔진 후륜 구동,수동5단,,,,,,,,,,,,
21,2023 메르세데스-벤츠 GLC,I4,싱글터보,디젤,"1,993cc",197hp,44.9kg.m,"복합 14.1km/ℓ 도심 13.3km/ℓ, 고속 15.4km/ℓ",134g/km,"4,720mm / 1,890mm","1,645mm / 2,890mm","1,627mm / 1,640mm","2,005kg",235mm / 55 / 19inch,235mm / 55 / 19inch,상시사륜 구동,자동9단,멀티링크,멀티링크,V디스크,V디스크,랙 앤 피니언,,,,,,219km/h,8초
22,2023 투싼,I4,싱글터보,가솔린,"1,598cc",180hp,27kg.m,"복합 12~12.5km/ℓ 도심 11.1~11.5km/ℓ, 고속 13.2~13.8km/ℓ",133~139g/km,"4,630mm / 1,865mm","1,665mm / 2,755mm","1,615~1,620mm / 1,622~1,627mm","1,495~1,525kg",225~245mm / 45~60 / 17~19inch,225~245mm / 45~60 / 17~19inch,앞엔진 전륜 구동,DCT7단,맥퍼슨 스트럿,멀티링크,디스크,디스크,랙 앤 피니언,,,,,,,
23,2021 BMW X5,l6,싱글터보,디젤,"2,993cc",265hp,63.2kg.m,"복합 10km/ℓ 도심 9.2km/ℓ, 고속 11.1km/ℓ",195g/km,"4,922mm / 2,004mm","1,745mm / 2,975mm","1,666mm / 1,685mm","0~2,110kg",275mm / 45 / 20inch,305mm / 40 / 20inch,상시사륜 구동,자동8단,더블 위시본,5 링크,V디스크,V디스크,랙 앤 피니언,,,,,,230km/h,6.5초
24,2025 렉서스 NX F 스포츠 플러그인 하이브리드,I4,자연흡기,전기,"2,487cc",182hp 합산 307hp,23.1kg.m,"복합 14.4km/ℓ 도심 15km/ℓ, 고속 13.7km/ℓ",26g/km,"4,660mm / 1,865mm","1,670mm / 2,690mm","1,605mm / 1,625mm","2,030kg",235mm / 50 / 20inch,235mm / 50 / 20inch,상시사륜 구동,CVT,맥퍼슨 스트럿,더블 위시본,V디스크,V디스크,랙 앤 피니언,,,56km,,리튬 이온,,
25,2024 BMW i4 M50,,,전기,,,,"복합 4.1km/kWh 도심 4.1km/kWh, 고속 4.1km/kWh",,"4,785mm / 1,850mm","1,450mm / 2,855mm",,"2,260kg",245mm / 40 / 19inch,255mm / 40 / 19inch,상시사륜 구동,자동1단,더블 조인트 스트럿,멀티링크,V디스크,V디스크,랙 앤 피니언,400kW536.4hp (단순환산치),795Nm81.1kg.m (단순환산치),378km,84kWh,리튬 이온,225km/h,3.9초
26,2018 니로 EV,,,전기,,,,"복합 5.3km/kWh 도심 5.8km/kWh, 고속 4.9km/kWh",,"4,375mm / 1,805mm","1,570mm / 2,700mm","1,562mm / 1,572mm","1,755kg",215mm / 55 / 17inch,215mm / 55 / 17inch,앞엔진 전륜 구동,자동1단,맥퍼슨 스트럿,멀티링크,디스크,디스크,랙 앤 피니언,150kW201.2hp (단순환산치),395Nm40.3kg.m (단순환산치),385km,64kWh,리튬 이온 폴리머,,
27,2001 티뷰론 터뷸런스,14-DOHC,,가솔린,"1,975cc",153hp,19.5kg.m,"복합 12km/ℓ 도심 0km/ℓ, 고속 0km/ℓ",,"4,345mm / 1,790mm","1,315mm / 2,475mm","1,465mm / 1,450mm","1,160kg",205mm / 50 / 15inch,205mm / 50 / 15inch,앞엔진 전륜 구동,수동5단,맥퍼슨 스트럿,듀얼링크 코일스프링,디스크,디스크,랙 앤 피니언,,,,,,220km/h,
28,2013 카니발,I4 2.2,,디젤,"2,199cc",197hp,44.5kg.m,"복합 11.3km/ℓ 도심 0km/ℓ, 고속 0km/ℓ",178g/km,"4,810mm / 1,985mm","1,805mm / 2,890mm","1,685mm / 1,685mm","2,030kg",225~235mm / 60~70 / 16~17inch,225~235mm / 60~70 / 16~17inch,앞엔진 전륜 구동,자동6단,맥퍼슨 스트럿,멀티링크 코일스프링,V디스크,디스크,랙 앤 피니언,,,,,,,
29,2024 테슬라 모델 Y,,,전기,,,,"복합 5.1km/kWh 도심 5.3km/kWh, 고속 4.8km/kWh",,"4,750mm / 1,920mm","1,625mm / 2,890mm",,"1,910kg",255mm / 45 / 19inch,255mm / 45 / 19inch,뒤엔진 후륜 구동,자동1단,더블 위시본,멀티링크,V디스크,V디스크,랙 앤 피니언,220kW295.0hp (단순환산치),420Nm42.8kg.m (단순환산치),350km,60kWh,리튬 인산철,217km/h,6.9초
30,2023 스타리아 캠퍼,I4,싱글터보,디젤,"2,199cc",177hp,44kg.m,,,"5,255mm / 1,995mm","2,095mm / 3,275mm","1,721mm / 1,732mm",,235mm / 55 / 18inch,235mm / 55 / 18inch,앞엔진 전륜 구동,자동8단,맥퍼슨 스트럿,멀티링크,V디스크,디스크,랙 앤 피니언,,,,,,,
31,2024 아이오닉 5,,,전기,,,,"복합 5.1km/kWh 도심 5.7km/kWh, 고속 4.6km/kWh",,"4,655mm / 1,890mm","1,605mm / 3,000mm","1,638mm / 1,647mm","1,890kg",235mm / 55 / 19inch,235mm / 55 / 19inch,뒤엔진 후륜 구동,자동1단,맥퍼슨 스트럿,멀티링크,V디스크,디스크,랙 앤 피니언,124.9kW167.5hp (단순환산치),350Nm35.7kg.m (단순환산치),368km,63kWh,리튬 이온,,
32,2021 G90,V6,트윈터보,가솔린,"3,342cc",370hp,52kg.m,"복합 8.8km/ℓ 도심 7.6km/ℓ, 고속 10.7km/ℓ",196g/km,"5,205mm / 1,915mm","1,495mm / 3,160mm","1,630mm / 1,659mm","2,065kg",245mm / 50 / 18inch,245mm / 50 / 18inch,앞엔진 후륜 구동,자동8단,멀티링크,멀티링크,V디스크,V디스크,랙 앤 피니언,,,,,,,
33,2023 BMW iX3,,,전기,,,,"복합 4.1km/kWh 도심 4.2km/kWh, 고속 3.9km/kWh",,"4,735mm / 1,890mm","1,670mm / 2,865mm","1,616mm / 1,598mm","2,210kg",245mm / 45 / 20inch,275mm / 40 / 20inch,뒤엔진 후륜 구동,자동1단,맥퍼슨 스트럿,멀티링크,V디스크,V디스크,랙 앤 피니언,210kW281.6hp (단순환산치),400Nm40.8kg.m (단순환산치),344km,74kWh,리튬 이온,180km/h,6.8초
34,2026 아르카나,I4,자연흡기,가솔린,"1,598cc",123hp,15.8kg.m,"복합 12.8~13.4km/ℓ 도심 11.4~12.1km/ℓ, 고속 15~15.4km/ℓ",123~128g/km,"4,570mm / 1,820mm","1,570mm / 2,720mm","1,565mm / 1,585mm","1,300~1,320kg",215mm / 55~65 / 16~18inch,215mm / 55~65 / 16~18inch,앞엔진 전륜 구동,CVT,맥퍼슨 스트럿,토션 빔,V디스크,디스크,랙 앤 피니언,,,,,,,
35,1999 비스토,I3 0.8,,가솔린,798cc,48~54hp,7.4kg.m,"복합 17.8km/ℓ 도심 0km/ℓ, 고속 0km/ℓ",,"3,495mm / 1,495mm","1,580mm / 2,380mm","1,315mm / 1,300mm",,,,앞엔진 전륜 구동,자동3단,,,,,,,,,,,145km/h,
36,2019 SM6,l4,자연흡기,가솔린,"1,997cc",140hp,19.7kg.m,"복합 11.4km/ℓ 도심 10.2km/ℓ, 고속 13.1km/ℓ",149g/km,"4,850mm / 1,870mm","1,460mm / 2,810mm","1,615mm / 1,610mm","1,420kg",205mm / 65 / 16inch,205mm / 65 / 16inch,앞엔진 전륜 구동,CVT,맥퍼슨 스트럿,어댑티브 모션 링크,V디스크,디스크,랙 앤 피니언,,,,,,,
37,2014 BMW X6,I6 직분사,싱글터보,디젤,"2,993cc",245hp,55.1kg.m,"복합 11.6km/ℓ 도심 10.7km/ℓ, 고속 13km/ℓ",172g/km,"4,877mm / 1,983mm","1,690mm / 2,933mm","1,644mm / 1,706mm","2,075kg",255mm / 50 / 19inch,255mm / 50 / 19inch,상시사륜 구동,자동8단,더블 위시본,멀티링크,V디스크,V디스크,랙 앤 피니언,,,,,,210km/h,7.5초
38,2025 봉고3 EV,,,전기,,,,"복합 3.1km/kWh 도심 3.6km/kWh, 고속 2.7km/kWh",,"5,115mm / 1,740mm","1,995mm / 2,810mm","1,490mm / 1,340mm","1,910kg",195mm / 70 / 15inch,145mm / 0 / 13inch,뒤엔진 후륜 구동,자동1단,더블 위시본,리지드,디스크,디스크,랙 앤 피니언,135kW181.0hp (단순환산치),395Nm40.3kg.m (단순환산치),217km,60.4kWh,리튬 이온,,
39,2008 QM5,2.0 dCi,,디젤,"1,995cc",150hp,32.6kg.m,"복합 12.2km/ℓ 도심 0km/ℓ, 고속 0km/ℓ",,"4,520mm / 1,855mm","1,695mm / 2,690mm","1,545mm / 1,550mm","1,753kg",225mm / 60 / 17inch,225mm / 60 / 17inch,앞엔진 전륜 구동,자동6단,맥퍼슨 스트럿,멀티링크 코일스프링,V디스크,디스크,랙 앤 피니언,,,,,,,
40,2016 K3,I4,자연흡기,가솔린,"1,591cc",132hp,16.4kg.m,"복합 13.2~14.3km/ℓ 도심 0~12.5km/ℓ, 고속 0~17km/ℓ",0~131g/km,"4,560mm / 1,780mm","1,435mm / 2,700mm","0~1,557mm / 0~1,570mm","0~1,270kg",195~215mm / 45~65 / 15~17inch,195~215mm / 45~65 / 15~17inch,앞엔진 전륜 구동,자동6단,맥퍼슨 스트럿,토션빔 액슬,디스크,디스크,랙 앤 피니언,,,,,,,
41,2010 BMW X5,직렬 6기통,,디젤,"2,993cc",245hp,55.1kg.m,"복합 12.6km/ℓ 도심 0km/ℓ, 고속 0km/ℓ",214g/km,"4,857mm / 1,933mm","1,776mm / 2,933mm","1,644mm / 1,650mm","2,075kg",255mm / 55 / 18inch,255mm / 55 / 18inch,상시사륜 구동,자동8단,더블 위시본,멀티링크 코일스프링,V디스크,V디스크,랙 앤 피니언,,,,,,222km/h,7.6초
42,2018 메르세데스-벤츠 GLA,l4,싱글터보,가솔린,"1,991cc",184hp,30.6kg.m,"복합 11.2km/ℓ 도심 0km/ℓ, 고속 0km/ℓ",,"4,440mm / 1,805mm","1,505mm / 2,700mm","1,555mm / 1,560mm","1,530kg",235mm / 50 / 18inch,235mm / 50 / 18inch,앞엔진 전륜 구동,DCT7단,맥퍼슨 스트럿,멀티링크,V디스크,V디스크,랙 앤 피니언,,,,,,230km/h,
43,2019 렉서스 IS,I4,싱글터보,가솔린,"1,998cc",245hp,35.7kg.m,"복합 10.2km/ℓ 도심 8.7km/ℓ, 고속 12.9km/ℓ",170g/km,"4,680mm / 1,810mm","1,430mm / 2,800mm","1,535mm / 1,550mm","1,670kg",225mm / 45 / 17inch,225mm / 45 / 17inch,앞엔진 후륜 구동,자동8단,더블 위시본,멀티링크,V디스크,V디스크,랙 앤 피니언,,,,,,,
44,2015 K5,I4 2.0,자연흡기,가솔린,"1,999cc",172hp,20.5kg.m,"복합 11.9~12.2km/ℓ 도심 10.2~10.9km/ℓ, 고속 14.4~15.1km/ℓ",142g/km,"4,845mm / 1,835mm","1,455mm / 2,795mm","1,591~1,601mm / 1,591~1,601mm","1,400~1,415kg",205~225mm / 45~65 / 16~18inch,205~225mm / 45~65 / 16~18inch,앞엔진 전륜 구동,"수동6단, 자동6단",맥퍼슨 스트럿,멀티링크,V디스크,디스크,랙 앤 피니언,,,,,,,
45,2010 렉서스 IS F 스포츠,V형 6기통,,가솔린,"2,499cc",207hp,25.5kg.m,"복합 11.4km/ℓ 도심 0km/ℓ, 고속 0km/ℓ",205g/km,"4,575mm / 1,800mm","1,425mm / 2,730mm","1,535mm / 1,535mm","1,630kg",225mm / 40 / 18inch,255mm / 40 / 18inch,앞엔진 후륜 구동,자동6단,더블 위시본,멀티링크 코일스프링,V디스크,V디스크,랙 앤 피니언,,,,,,,
46,2023 테슬라 모델 Y,,,전기,,,,"복합 5.1km/kWh 도심 5.3km/kWh, 고속 4.8km/kWh",,"4,750mm / 1,920mm","1,625mm / 2,890mm",,"1,910kg",255mm / 45 / 19inch,255mm / 45 / 19inch,뒤엔진 후륜 구동,자동1단,더블 위시본,멀티링크,V디스크,V디스크,랙 앤 피니언,220kW295.0hp (단순환산치),420Nm42.8kg.m (단순환산치),350km,60kWh,리튬 인산철,217km/h,6.9초
47,2016 메르세데스-AMG GT,V8,트윈터보,가솔린,"3,982cc",462hp,61.2kg.m,"복합 7.3km/ℓ 도심 6.4km/ℓ, 고속 8.9km/ℓ",243g/km,"4,545mm / 1,940mm","1,300mm / 2,630mm","1,680mm / 1,680mm","1,665kg",265mm / 35 / 19inch,295mm / 30 / 20inch,앞엔진 후륜 구동,DCT7단,코일스프링,코일스프링,V디스크,V디스크,랙 앤피니언,,,,,,304km/h,4초
48,2014 QM5,I4 2.0,싱글터보,디젤,"1,995cc",173hp,36.7kg.m,"복합 13.2km/ℓ 도심 0km/ℓ, 고속 0km/ℓ",151g/km,"4,525mm / 1,855mm","1,695~1,710mm / 2,690mm","1,545mm / 1,550mm","1,705kg",225mm / 60 / 17inch,225mm / 60 / 17inch,앞엔진 전륜 구동,자동6단,맥퍼슨 스트럿,멀티링크,V 디스크,V 디스크,랙 앤 피니언,,,,,,,
49,2025 니로 하이브리드,I4,자연흡기,가솔린,"1,580cc",104hp,14.7kg.m,"복합 19.1~20.8km/ℓ 도심 20~21.9km/ℓ, 고속 18.1~19.6km/ℓ",75~82g/km,"4,420mm / 1,825mm","1,545mm / 2,720mm","1,573~1,585mm / 1,585~1,596mm","1,405~1,445kg",205~225mm / 45~60 / 16~18inch,205~225mm / 45~60 / 16~18inch,앞엔진 전륜 구동,DCT6단,맥퍼슨 스트럿,멀티링크,V디스크,디스크,랙 앤 피니언,,,,,,,
50,2011 메르세데스-벤츠 GLK,l4,싱글터보,디젤,"2,143cc",170hp,40.8kg.m,"복합 14.2km/ℓ 도심 0km/ℓ, 고속 0km/ℓ",190g/km,"4,525mm / 1,840mm","1,690mm / 2,755mm","1,570mm / 1,580mm",,235mm / 55~60 / 17~19inch,235mm / 55~60 / 17~19inch,상시사륜 구동,자동7단,맥퍼슨 스트럿,멀티링크,V디스크,디스크,랙 앤 피니언,,,,,,,
51,2020 메르세데스-벤츠 GLA,I4,싱글터보,가솔린,"1,991cc",224hp,35.7kg.m,"복합 10.5km/ℓ 도심 9.5km/ℓ, 고속 12.1km/ℓ",170g/km,"4,440mm / 1,850mm","1,615mm / 2,730mm","1,590mm / 1,592mm","1,660kg",235mm / 50 / 19inch,235mm / 50 / 19inch,상시사륜 구동,DCT8단,맥퍼슨 스트럿,멀티링크,V디스크,V디스크,랙 앤 피니언,,,,,,240km/h,6.7초
52,2024 BMW X5 M,V8,트윈터보,가솔린,"4,395cc",625hp,76.5kg.m,"복합 6.9km/ℓ 도심 6.1km/ℓ, 고속 8.2km/ℓ",252g/km,"4,950mm / 2,015mm","1,760mm / 2,970mm","1,699mm / 1,688mm","2,465kg",295mm / 35 / 21inch,315mm / 30 / 22inch,상시사륜 구동,자동8단,더블 위시본,멀티링크,V디스크,V디스크,랙 앤 피니언,,,,,,250km/h,3.9초
53,2025 셀토스,I4,싱글터보,가솔린,"1,598cc",198hp,27kg.m,"복합 11.8~12.8km/ℓ 도심 10.6~11.5km/ℓ, 고속 13.5~14.6km/ℓ",130~142g/km,"4,390mm / 1,800mm","1,600~1,620mm / 2,630mm","1,560~1,575mm / 1,568~1,584mm","1,360~1,405kg",205~235mm / 45~60 / 16~18inch,205~235mm / 45~60 / 16~18inch,앞엔진 전륜 구동,자동8단,맥퍼슨 스트럿,CTBA,디스크,디스크,랙 앤 피니언,,,,,,,
54,2022 BMW M8 그란쿠페,V8,트윈터보,가솔린,"4,395cc",625hp,76.5kg.m,"복합 7.3km/ℓ 도심 6.4km/ℓ, 고속 8.9km/ℓ",237g/km,"5,095mm / 1,935mm","1,440mm / 3,023mm","1,626mm / 1,660mm","2,020kg",275mm / 35 / 20inch,285mm / 35 / 20inch,상시사륜 구동,토크컨버터8단,더블 위시본,멀티링크,V디스크,V디스크,랙 앤 피니언,,,,,,250km/h,3.2초
55,2016 G80,V6,자연흡기,가솔린,"3,342cc",278hp,35.4kg.m,"복합 8.3~9.1km/ℓ 도심 7.2~7.9km/ℓ, 고속 10~11.2km/ℓ",186~205g/km,"4,990mm / 1,890mm","1,480mm / 3,010mm","1,620~1,628mm / 1,633~1,659mm","1,900~1,990kg",245mm / 40~45 / 18~19inch,245~275mm / 35~45 / 18~19inch,"앞엔진 후륜 구동, 상시사륜 구동",자동8단,멀티 링크,멀티 링크,V디스크,V디스크,랙 앤 피니언,,,,,,,
56,2020 G90L,V8,자연흡기,가솔린,"5,038cc",425hp,53kg.m,"복합 7.2km/ℓ 도심 6.1km/ℓ, 고속 9.3km/ℓ",241g/km,"5,495mm / 1,915mm","1,505mm / 3,450mm","1,640mm / 1,639mm","2,270kg",245mm / 45 / 19inch,275mm / 40 / 19inch,상시사륜 구동,자동8단,멀티링크,멀티링크,V디스크,V디스크,랙 앤 피니언,,,,,,,
57,2012 SM3,I4 1.6 CVTC,,가솔린,"1,598cc",112hp,15.9kg.m,"복합 15~16.3km/ℓ 도심 0km/ℓ, 고속 0km/ℓ",143~156g/km,"4,620mm / 1,810mm","1,480mm / 2,700mm","1,545mm / 1,565mm","1,215~1,250kg",195~205mm / 50~65 / 15~17inch,195~205mm / 50~65 / 15~17inch,앞엔진 전륜 구동,"수동5단, CVT6단",맥퍼슨 스트럿,토션빔 액슬,V디스크,디스크,랙 앤 피니언,,,,,,,
58,2014 제네시스 쿠페,I4 터보,싱글터보,가솔린,"1,998cc",275hp,38kg.m,"복합 9.9~10km/ℓ 도심 0km/ℓ, 고속 0km/ℓ",177~180g/km,"4,630mm / 1,865mm","1,385mm / 2,820mm","1,601~1,605mm / 1,621~1,625mm","1,525~1,550kg",225mm / 40~45 / 18~19inch,245mm / 40~45 / 18~19inch,앞엔진 후륜 구동,"수동6단, 자동8단",듀얼 맥퍼슨,멀티 링크,V디스크,디스크,랙 앤드 피니언,,,,,,,
