,차종,엔진형식,과급방식,연료,배기량,최고출력,최대토크,연비,CO₂ 배출량,전장/전폭,전고/축거,윤거전/후,공차중량,전륜타이어,후륜타이어,구동방식,변속기,전륜서스펜션,후륜서스펜션,전륜제동장치,후륜제동장치,스티어링,출력,토크,주행거리,용량,타입,최고속도,가속성능
873,2004 그랜저,V6,자연흡기,가솔린,"1,998cc",137hp,18kg.m,"복합 9.9km/ℓ 도심 0km/ℓ, 고속 0km/ℓ",,"4,875mm / 1,825mm","1,420mm / 2,750mm","1,540mm / 1,530mm","1,550kg",205mm / 65 / 15inch,205mm / 65 / 15inch,앞엔진 전륜 구동,자동4단,더블 위시본,멀티링크 코일스프링,디스크,디스크,랙 앤 피니언,,,,,,203km/h,
874,2023 BMW X5 M,V8,트윈터보,가솔린,"4,395cc",625hp,76.5kg.m,"복합 6.7km/ℓ 도심 5.9km/ℓ, 고속 7.9km/ℓ",258g/km,"4,940mm / 2,015mm","1,750mm / 2,970mm","1,699mm / 1,688mm","2,430kg",295mm / 35 / 21inch,315mm / 30 / 22inch,상시사륜 구동,자동8단,더블 위시본,멀티링크,V디스크,V디스크,랙 앤 피니언,,,,,,250km/h,3.8초
875,1991 쏘나타,I4,자연흡기,가솔린,"1,795cc",95hp,14.6kg.m,"복합 11.8km/ℓ 도심 0km/ℓ, 고속 0km/ℓ",,"4,680mm / 1,751mm","1,411mm / 2,650mm","1,455mm / 1,440mm","1,225~1,240kg",205mm / 55 / 15inch,205mm / 55 / 15inch,앞엔진 전륜 구동,"자동4단, 수동5단",맥퍼슨 스트럿,멀티링크 코일스프링,디스크,드럼,랙 앤 피니언,,,,,,,
876,2006 아반떼,1.5 VGT,,디젤,"1,493cc",104hp,24.5kg.m,"복합 15.8~18.9km/ℓ 도심 0km/ℓ, 고속 0km/ℓ",,"4,525mm / 1,725mm","1,425mm / 2,610mm","1,485mm / 1,475mm","1,301~1,312kg",185mm / 65 / 15inch,185mm / 65 / 15inch,앞엔진 전륜 구동,"수동, 자동",맥퍼슨 스트럿,듀얼링크 코일스프링,디스크,디시크,랙 앤 피니언,,,,,,,
877,2019 BMW 4시리즈 컨버터블,l4,싱글터보,가솔린,"1,998cc",252hp,35.7kg.m,"복합 11.1km/ℓ 도심 9.7km/ℓ, 고속 13.5km/ℓ",156g/km,"4,640mm / 1,825mm","1,365mm / 2,810mm","1,545mm / 1,594mm","1,835kg",225mm / 40 / 19inch,255mm / 35 / 19inch,앞엔진 후륜 구동,자동8단,더블 조인트,5 링크,V디스크,V디스크,렉 앤 피니언,,,,,,250km/h,6.3초
878,2002 봉고,,,디젤,"2,997cc",94hp,,,,,,,,,,중간엔진 후륜 구동,수동5단,,,,,,,,,,,,
879,2024 GV80 쿠페,I4,싱글터보,가솔린,"2,497cc",304hp,43kg.m,"복합 8.2km/ℓ 도심 7.3km/ℓ, 고속 9.5km/ℓ",209g/km,"4,965mm / 1,975mm","1,710mm / 2,955mm","1,674mm / 1,689mm","2,170kg",265mm / 50 / 20inch,265mm / 50 / 20inch,상시사륜 구동,자동8단,더블 위시본,멀티링크,V디스크,V디스크,랙 앤 피니언,,,,,,,
880,2022 싼타페 하이브리드,I4,싱글터보,가솔린,"1,598cc",180hp 합산 230hp,27kg.m 합산 35.7kg.m,"복합 14.3~15.3km/ℓ 도심 15.2~16.4km/ℓ, 고속 13.3~14km/ℓ",106~114g/km,"4,785mm / 1,900mm","1,685~1,710mm / 2,765mm","1,646~1,651mm / 1,656~1,661mm","1,760~1,790kg",235mm / 55~65 / 17~19inch,235mm / 55~65 / 17~19inch,앞엔진 전륜 구동,자동6단,맥퍼슨 스트럿,멀티링크,V디스크,디스크,랙 앤 피니언,,,,,,,
881,2024 메르세데스-EQ EQE,,,전기,,,,"복합 4.3km/kWh 도심 4.5km/kWh, 고속 4.1km/kWh",,"4,965mm / 1,905mm","1,510mm / 3,120mm",,"2,355kg",255mm / 40 / 20inch,255mm / 40 / 20inch,뒤엔진 후륜 구동,자동1단,멀티링크,멀티링크,V디스크,V디스크,랙 앤 피니언,215kW288.3hp (단순환산치),565Nm57.6kg.m (단순환산치),471km,88.8kWh,리튬 이온,210km/h,6.4초
882,2012 아반떼 하이브리드,I4 1.6 LPi,자연흡기,LPG,"1,591cc",114hp,15.1kg.m,"복합 14km/ℓ 도심 0km/ℓ, 고속 0km/ℓ",92g/km,"4,535mm / 1,775mm","1,490mm / 2,650mm","1,550mm / 1,550mm","1,297kg",185~195mm / 65 / 15inch,185~195mm / 65 / 15inch,앞엔진 전륜 구동,CVT,맥퍼슨 스트럿,멀티링크,디스크,디스크,랙 앤 피니언,,,,,,,
883,2026 BMW Z4,I4,싱글터보,가솔린,"1,998cc",197hp,32.6kg.m,"복합 10.7km/ℓ 도심 9.8km/ℓ, 고속 12.1km/ℓ",159g/km,"4,325mm / 1,865mm","1,300mm / 2,470mm","1,593mm / 1,588mm","1,525kg",255mm / 35 / 19inch,275mm / 35 / 19inch,앞엔진 후륜 구동,자동8단,맥퍼슨 스트럿,멀티링크,V디스크,V디스크,랙 앤 피니언,,,,,,240km/h,6.6초
884,2023 일렉트리파이드 G80,,,전기,,,,"복합 4.3km/kWh 도심 4.5km/kWh, 고속 4.1km/kWh",,"5,005mm / 1,925mm","1,475mm / 3,010mm","1,630mm / 1,636mm","2,265kg",245mm / 45 / 19inch,275mm / 40 / 19inch,상시사륜 구동,자동1단,멀티링크,멀티링크,V디스크,V디스크,랙 앤 피니언,272kW364.8hp (단순환산치),700Nm71.4kg.m (단순환산치),427km,87.2kWh,리튬 이온,,
885,2022 아반떼,I4,자연흡기,가솔린,"1,598cc",123hp,15.7kg.m,"복합 14.9~15.4km/ℓ 도심 13.3~13.8km/ℓ, 고속 17.3~17.7km/ℓ",106~110g/km,"4,650mm / 1,825mm","1,420mm / 2,720mm","1,585~1,593mm / 1,596~1,604mm","1,210~1,225kg",195~205mm / 55~65 / 15~16inch,195~205mm / 55~65 / 15~16inch,앞엔진 전륜 구동,CVT,맥퍼슨 스트럿,토션 빔,V디스크,디스크,랙 앤 피니언,,,,,,,
886,2015 BMW 6시리즈 컨버터블,V8 직분사,트윈터보,가솔린,"4,395cc",449hp,66.3kg.m,"복합 8.2km/ℓ 도심 7.1km/ℓ, 고속 10.1km/ℓ",219g/km,"4,894mm / 1,894mm","1,365mm / 2,855mm",,,245mm / 35 / 20inch,275mm / 30 / 20inch,앞엔진 후륜 구동,자동8단,더블 위시본,멀티링크,V디스크,V디스크,랙 앤 피니언,,,,,,250km/h,4.6초
887,2008 BMW X5,V8,,가솔린,"4,799cc",355hp,48.5kg.m,"복합 6.7km/ℓ 도심 0km/ℓ, 고속 0km/ℓ",350g/km,"4,854mm / 1,933mm","1,776mm / 2,933mm","1,644mm / 1,650mm","2,230kg",255mm / 50 / 19inch,255mm / 50 / 19inch,상시사륜 구동,자동6단,더블 위시본,멀티링크 코일스프링,V디스크,디스크,랙 앤 피니언,,,,,,240km/h,6.5초
888,2011 싼타페,2.4 VVT,,가솔린,"2,359cc",175hp,23kg.m,"복합 10.7km/ℓ 도심 0km/ℓ, 고속 0km/ℓ",218g/km,"4,675mm / 1,890mm","1,725mm / 2,700mm","1,615mm / 1,620mm","1,720kg",235mm / 65 / 17inch,235mm / 60 / 18inch,앞엔진 전륜 구동,자동6단,더블위시본,멀티링크 코일스프링,디스크,디스크,랙 앤 피니언,,,,,,,
889,2004 쏘나타,2.0 세타 VVT,,가솔린,"1,998cc",144hp,19.1kg.m,"복합 10.7~12.1km/ℓ 도심 0km/ℓ, 고속 0km/ℓ",,"4,800mm / 1,830mm","1,475mm / 2,730mm","1,565~1,575mm / 1,550~1,560mm","1,443~1,450kg",215mm / 60~65 / 15~16inch,215mm / 60~65 / 15~16inch,앞엔진 전륜 구동,"수동5단, 자동4단",더블 위시본,멀티링크 코일스프링,V디스크,디스크,랙 앤 피니언,,,,,,,
890,2022 BMW 3시리즈,I4,싱글터보,가솔린,"1,998cc",184hp,30.6kg.m,"복합 11km/ℓ 도심 9.7km/ℓ, 고속 13.1km/ℓ",154g/km,"4,710mm / 1,825mm","1,435mm / 2,851mm","1,589mm / 1,604mm","1,605kg",225mm / 45~50 / 17~18inch,225~255mm / 40~50 / 17~18inch,앞엔진 후륜 구동,토크컨버터8단,더블 조인트 스트럿,5링크,V디스크,V디스크,랙 앤 피니언,,,,,,235km/h,7.1초
891,2007 베라크루즈,V형 6기통 E-VGT,,디젤,"2,959cc",240hp,46kg.m,"복합 10.7~11km/ℓ 도심 0km/ℓ, 고속 0km/ℓ",,"4,840mm / 1,945mm","1,750mm / 2,805mm","1,670mm / 1,670mm","2,030~2,112kg",245mm / 60~65 / 17~18inch,245mm / 60~65 / 17~18inch,"앞엔진 전륜 구동, 사륜 구동",자동6단,맥퍼슨 스트럿,멀티링크 코일스프링,디스크,디스크,랙 앤 피니언,,,,,,190km/h,
892,2023 BMW M5,V8,트윈터보,가솔린,"4,395cc",625hp,76.5kg.m,"복합 7.6km/ℓ 도심 6.6km/ℓ, 고속 9.2km/ℓ",225g/km,"4,985mm / 1,905mm","1,475mm / 2,975mm","1,625mm / 1,594mm","1,950kg",275mm / 35 / 20inch,285mm / 35 / 20inch,상시사륜 구동,자동8단,더블 위시본,멀티링크,V디스크,V디스크,랙 앤 피니언,,,,,,250km/h,3.3초
893,2025 메르세데스-벤츠 GLB,I4,싱글터보,디젤,"1,950cc",150hp,32.6kg.m,"복합 14.2km/ℓ 도심 13km/ℓ, 고속 16km/ℓ",133g/km,"4,640mm / 1,835mm","1,700mm / 2,830mm","1,587mm / 1,588mm","1,745kg",235mm / 55 / 18inch,235mm / 55 / 18inch,앞엔진 전륜 구동,DCT8단,맥퍼슨 스트럿,멀티링크,V디스크,V디스크,랙 앤 피니언,,,,,,204km/h,9.2초
894,2010 제네시스 쿠페,4기통 터보,,가솔린,"1,998cc",210hp,30.5kg.m,"복합 10.6~11km/ℓ 도심 0km/ℓ, 고속 0km/ℓ",213~220g/km,"4,630mm / 1,865mm","1,385mm / 2,820mm","1,599~1,603mm / 1,615~1,619mm","1,505~1,548kg",225mm / 40~45 / 18~19inch,245mm / 40~45 / 18~19inch,앞엔진 후륜 구동,"수동6단, 자동5단, 자동6단",맥퍼슨 스트럿,5링크 코일스프링,디스크,디스크,랙 앤 피니언,,,,,,,8.5초
895,2014 SM3,I4 1.6,자연흡기,가솔린,"1,598cc",117hp,16.1kg.m,"복합 15km/ℓ 도심 0km/ℓ, 고속 0km/ℓ",114g/km,"4,620mm / 1,810mm","1,480mm / 2,700mm","1,545mm / 1,565mm","1,250kg",205mm / 55~65 / 15~17inch,205mm / 55~65 / 15~17inch,앞엔진 전륜 구동,CVT,맥퍼슨 스트럿,토션 빔,V디스크,디스크,랙 앤 피니언,,,,,,,
896,2012 QM5,I4 2.0 dCi,,디젤,"1,995cc",173hp,36.7kg.m,"복합 15.1km/ℓ 도심 0km/ℓ, 고속 0km/ℓ",178g/km,"4,525mm / 1,855mm","1,695~1,710mm / 2,690mm","1,545mm / 1,550mm","1,705kg",225mm / 60 / 17inch,225mm / 60 / 17inch,앞엔진 전륜 구동,자동6단,맥퍼슨 스트럿,멀티링크,V 디스크,V 디스크,랙 앤 피니언,,,,,,,
897,1997 엔터프라이즈,DOHC,,가솔린,"3,605cc",220hp,32kg.m,"복합 8.1km/ℓ 도심 0km/ℓ, 고속 0km/ℓ",,"5,020mm / 1,810mm","1,435mm / 2,850mm","1,525mm / 1,545mm",,225mm / 60 / 15inch,225mm / 60 / 15inch,앞엔진 후륜 구동,자동4단,멀티링크 코일스프링,5링크 코일스프링,V디스크,디스크,랙 앤 피니언,,,,,,230km/h,11초
898,2021 쏘울 부스터 EV,,,전기,,,,"복합 5.6km/kWh 도심 6.4km/kWh, 고속 4.9km/kWh",,"4,195mm / 1,800mm","1,605mm / 2,600mm","1,565mm / 1,572mm","1,555kg",215mm / 55 / 17inch,215mm / 55 / 17inch,앞엔진 전륜 구동,자동,맥퍼슨 스트럿,멀티링크,V디스크,디스크,랙 앤 피니언,100kW134.1hp (단순환산치),395Nm40.3kg.m (단순환산치),250km,39.2kWh,리튬이온 폴리머,,
899,2010 메르세데스-벤츠 GLK,l4,싱글터보,디젤,"2,143cc",170hp,40.8kg.m,"복합 14.2km/ℓ 도심 0km/ℓ, 고속 0km/ℓ",190g/km,"4,525mm / 1,840mm","1,690mm / 2,755mm","1,570mm / 1,580mm",,235mm / 55~60 / 17~19inch,235mm / 55~60 / 17~19inch,상시사륜 구동,자동7단,맥퍼슨 스트럿,멀티링크,V디스크,디스크,랙 앤 피니언,,,,,,,
900,2022 BMW 3시리즈 투어링,I4,싱글터보,가솔린,"1,998cc",184hp,30.6kg.m,"복합 11.7km/ℓ 도심 10.4km/ℓ, 고속 13.8km/ℓ",143g/km,"4,710mm / 1,825mm","1,440mm / 2,851mm","1,573mm / 1,569mm","1,655kg",225mm / 45 / 18inch,225mm / 45 / 18inch,앞엔진 후륜 구동,토크컨버터8단,더블 조인트 스트럿,5링크,V디스크,V디스크,랙 앤 피니언,,,,,,235km/h,7.1초
901,2024 BMW 5시리즈,I4,싱글터보,가솔린,"1,998cc",190hp,31.6kg.m,"복합 12.1km/ℓ 도심 11.1km/ℓ, 고속 13.7km/ℓ",137g/km,"5,060mm / 1,900mm","1,515mm / 2,995mm",,"1,835kg",245mm / 45 / 19inch,245mm / 45 / 19inch,앞엔진 후륜 구동,자동8단,더블 위시본,멀티링크,V디스크,V디스크,랙 앤 피니언,,,,,,230km/h,8.1초
902,2026 그랜저 하이브리드,I4,싱글터보,가솔린,"1,598cc",180hp 합산 230hp,27kg.m 합산 35.7kg.m,"복합 15.7~18km/ℓ 도심 15.4~18km/ℓ, 고속 15.9~17.9km/ℓ",88~103g/km,"5,035mm / 1,880mm","1,460mm / 2,895mm","1,624~1,628mm / 1,631~1,635mm","1,700~1,735kg",225~245mm / 40~55 / 18~20inch,225~245mm / 40~55 / 18~20inch,앞엔진 전륜 구동,자동6단,맥퍼슨 스트럿,멀티링크,V디스크,디스크,랙 앤 피니언,,,,,,,
903,2020 레이,l3,자연흡기,가솔린,998cc,76hp,9.7kg.m,"복합 12.7~13km/ℓ 도심 11.9~12.2km/ℓ, 고속 13.7~14km/ℓ",127~131g/km,"3,595mm / 1,595mm","1,700mm / 2,520mm","1,410~1,416mm / 1,418~1,424mm","1,040~1,045kg",165~175mm / 50~60 / 14~15inch,165~175mm / 50~60 / 14~15inch,앞엔진 전륜 구동,자동4단,맥퍼슨 스트럿,토션빔,디스크,디스크,랙 앤 피니언,,,,,,,
904,2008 모하비,V형 6기통,,디젤,"2,959cc",250hp,55kg.m,"복합 11.1km/ℓ 도심 0km/ℓ, 고속 0km/ℓ",,"4,880mm / 1,915mm","1,810mm / 2,895mm","1,630mm / 1,640mm","2,055kg",245~265mm / 60~70 / 17~18inch,245~265mm / 60~70 / 17~18inch,앞엔진 후륜 구동,자동6단,더블위시본,멀티링크 코일스프링,V디스크,디스크,랙 앤 피니언,,,,,,220km/h,
905,2012 포터2,I4 2.5 CRDi,,디젤,"2,497cc",133hp,26.5kg.m,"복합 9.2~10km/ℓ 도심 0km/ℓ, 고속 0km/ℓ",201~220g/km,"5,100~5,150mm / 1,740mm","1,970mm / 2,640mm","1,485mm / 1,320mm","1,721~1,751kg",195mm / 0 / 15inch,,앞엔진 후륜 구동,"수동6단, 자동5단",더블 위시본,리프 스프링,디스크,드럼,랙 앤 피니언,,,,,,0~201km/h,
906,2026 BMW i5 M60,,,전기,,,,"복합 3.9km/kWh 도심 3.9km/kWh, 고속 3.8km/kWh",,"5,060mm / 1,900mm","1,515mm / 2,995mm","1,628mm / 1,622mm","2,410kg",245mm / 35 / 20inch,275mm / 30 / 20inch,상시사륜 구동,자동1단,더블 위시본,멀티링크,V디스크,V디스크,랙 앤 피니언,442kW592.7hp (단순환산치),795Nm81.1kg.m (단순환산치),371km,81.2kWh,리튬 이온,230km/h,3.8초
907,2024 봉고3,l4,싱글터보,LPG,"2,469cc",138~159hp,26~30kg.m,"복합 6.5~7km/ℓ 도심 6.1~6.7km/ℓ, 고속 7.1~7.4km/ℓ",188~204g/km,"5,115mm / 1,740mm","1,995mm / 2,615mm","1,490mm / 1,340mm","1,675~1,705kg",195mm / 0 / 15inch,145mm / 0 / 13inch,앞엔진 후륜 구동,"수동6단, 자동5단",더블 위시본,리지드,디스크,드럼,랙 앤 피니언,,,,,,,
908,2012 프라이드 세단,I4 1.4 MPI,,가솔린,"1,396cc",108hp,13.9kg.m,"복합 16.1~18km/ℓ 도심 0km/ℓ, 고속 0km/ℓ",130~145g/km,"4,365mm / 1,720mm","1,455mm / 2,570mm","0~1,521mm / 0~1,525mm","1,056~1,082kg",175~185mm / 65~70 / 14~15inch,175~185mm / 65~70 / 14~15inch,앞엔진 전륜 구동,"수동6단, 자동4단",맥퍼슨 스트럿,CTBA,디스크,드럼,랙 앤 피니언,,,,,,,
909,2007 BMW M5,V10,,가솔린,"4,999cc",507hp,53.1kg.m,"복합 6km/ℓ 도심 0km/ℓ, 고속 0km/ℓ",392g/km,"4,855mm / 1,846mm","1,469mm / 2,889mm","1,580mm / 1,566mm","1,840kg",255mm / 40 / 19inch,285mm / 35 / 19inch,앞엔진 후륜 구동,S/T7단,더블 위시본,멀티 암,V디스크,디스크,랙 앤 피니언,,,,,,250km/h,4.3초
910,2018 그랜드 스타렉스 리무진,I4,싱글터보,디젤,"2,497cc",175hp,46kg.m,"복합 8.9km/ℓ 도심 7.9km/ℓ, 고속 10.5km/ℓ",222g/km,"5,175mm / 2,000mm","1,925~2,205mm / 3,200mm","1,685mm / 1,660mm","0~2,510kg",215mm / 65 / 17inch,215mm / 65 / 17inch,앞엔진 후륜 구동,자동5단,맥퍼슨 스트럿,멀티링크,디스크,디스크,랙 앤 피니언,,,,,,,
911,2007 스포티지,2.0 CVVT,,가솔린,"1,975cc",142hp,18.8kg.m,"복합 9.2km/ℓ 도심 0km/ℓ, 고속 0km/ℓ",,"4,350mm / 1,820mm","1,695mm / 2,630mm","1,540mm / 1,540mm","1,480kg",215~235mm / 60~65 / 16inch,215~235mm / 60~65 / 16inch,앞엔진 전륜 구동,자동4단,맥퍼슨 스트럿,듀얼링크 코일스프링,V디스크,"드럼,디스크",랙 앤 피니언,,,,,,220km/h,
