,종합점수,주행,가격,거주성,품질,디자인,연비_y,복합연비,연료,연도,차급,브랜드,CO₂ 배출량
32,9.5,9.9,9.2,9.5,9.7,9.8,8.7,4.1,전기,2023,대형/프리미엄,BMW,153.5
35,7.8,7.8,7.7,7.3,7.4,9.3,7.4,11.4,가솔린,2019,경차,르노코리아,149.0
36,9.0,9.8,8.5,8.7,9.4,9.9,7.9,11.6,디젤,2014,경차,BMW,172.0
39,8.7,8.8,9.2,8.5,8.5,8.5,8.8,13.2,가솔린,2016,경차,기아,65.5
41,8.7,9.2,8.4,8.2,8.9,9.4,8.1,11.2,가솔린,2018,경차,메르세데스-벤츠,153.5
42,8.6,9.3,8.4,8.2,9.6,9.3,7.0,10.2,가솔린,2019,경차,렉서스,170.0
43,8.3,8.5,8.5,8.3,8.2,8.9,7.6,11.9,가솔린,2015,경차,기아,142.0
45,9.3,9.8,8.9,9.5,8.7,9.5,9.4,5.1,전기,2023,대형/프리미엄,테슬라,153.5
46,8.7,9.6,8.0,8.3,9.2,9.9,6.9,7.3,가솔린,2016,경차,메르세데스-벤츠,243.0
47,8.5,8.8,8.4,8.3,8.9,8.4,7.9,13.2,디젤,2014,경차,르노코리아,151.0
49,8.9,9.6,8.1,8.7,9.4,9.6,8.0,10.5,가솔린,2020,경차,메르세데스-벤츠,170.0
50,8.5,9.9,8.1,8.4,9.0,9.4,6.0,6.9,가솔린,2024,경차,BMW,252.0
52,9.0,10.0,10.0,8.0,8.0,10.0,8.0,7.3,가솔린,2022,경차,BMW,237.0
53,8.5,9.2,8.2,9.2,9.0,9.4,6.0,8.3,가솔린,2016,경차,제네시스,195.5
54,8.5,9.4,7.9,9.0,8.9,9.1,6.5,7.2,가솔린,2020,경차,제네시스,241.0
56,7.9,9.1,9.0,7.2,8.2,9.2,5.0,9.9,가솔린,2014,경차,제네시스,178.5
58,8.8,9.2,8.8,9.3,8.8,8.7,8.1,11.9,디젤,2015,경차,현대,168.0
59,9.8,10.0,9.3,9.9,9.9,9.9,10.0,3.7,전기,2023,대형/프리미엄,BMW,153.5
61,9.0,9.7,9.0,7.4,9.1,9.0,9.7,18.5,디젤,2014,경차,BMW,103.0
62,8.7,9.5,8.5,9.6,9.1,8.7,6.8,10.0,가솔린,2024,경차,현대,160.0
63,9.2,9.2,8.3,8.8,9.6,9.4,9.7,10.9,가솔린,2018,경차,렉서스,155.0
64,8.8,9.4,8.1,8.8,9.1,9.5,8.2,9.7,디젤,2017,경차,메르세데스-벤츠,200.0
65,8.5,8.5,9.1,6.8,9.0,9.6,7.9,9.1,가솔린,2015,경차,메르세데스-벤츠,195.0
66,9.0,9.3,7.6,9.4,9.1,9.7,9.1,15.7,가솔린,2024,경차,기아,102.0
67,8.4,8.8,8.5,8.9,8.4,8.9,7.2,10.9,디젤,2018,경차,기아,180.0
68,8.2,9.7,6.8,8.3,10.0,9.7,4.5,9.9,가솔린,2016,경차,렉서스,175.0
69,8.7,9.6,7.7,8.0,8.7,9.9,8.1,11.5,가솔린,2021,경차,메르세데스-벤츠,150.0
71,9.2,9.6,9.5,8.5,10.0,9.5,7.9,7.6,가솔린,2018,경차,렉서스,233.0
72,8.6,8.8,8.8,8.5,8.7,7.1,9.7,19.5,가솔린,2016,경차,기아,79.0
74,8.9,9.3,8.2,9.2,9.5,9.5,7.5,7.9,가솔린,2024,경차,렉서스,220.0
77,8.5,8.7,9.0,8.0,8.2,8.2,8.8,13.4,가솔린,2018,경차,현대,118.5
78,8.9,9.4,6.7,9.0,9.1,9.5,9.4,18.1,가솔린,2024,경차,현대,83.0
79,8.9,9.3,8.4,8.9,8.8,9.6,8.4,13.3,가솔린,2023,경차,르노코리아,122.0
80,9.0,9.9,8.8,8.7,7.9,9.4,9.3,5.8,전기,2019,대형/프리미엄,테슬라,153.5
81,8.4,8.5,8.8,8.3,8.3,8.4,8.1,14.0,가솔린,2015,경차,현대,122.5
85,8.6,8.9,8.4,8.8,8.5,9.0,7.9,13.8,디젤,2014,경차,현대,137.0
87,8.3,8.3,8.7,8.4,8.5,9.1,7.0,11.5,가솔린,2015,경차,기아,151.5
88,8.7,9.4,8.9,9.4,9.1,8.5,6.7,9.4,가솔린,2014,경차,기아,188.0
90,9.2,9.4,8.5,9.5,9.5,9.2,8.9,8.9,가솔린,2016,경차,렉서스,193.0
91,8.7,8.8,8.7,9.2,8.4,9.3,7.8,11.6,가솔린,2020,경차,기아,144.5
93,8.9,9.3,8.2,9.2,9.5,9.5,7.5,12.8,가솔린,2020,경차,렉서스,129.0
95,8.4,8.6,9.1,8.7,8.4,8.4,7.1,9.1,가솔린,2017,경차,르노코리아,174.0
102,8.2,9.7,6.8,8.3,10.0,9.7,4.5,9.9,가솔린,2020,경차,렉서스,175.0
103,9.0,9.9,8.8,8.7,7.9,9.4,9.3,6.1,전기,2021,대형/프리미엄,테슬라,153.5
105,8.4,9.6,8.0,8.1,9.1,9.0,6.9,8.3,가솔린,2023,경차,BMW,208.0
106,8.3,9.0,9.0,8.6,8.5,8.4,6.4,5.2,전기,2018,대형/프리미엄,기아,153.5
109,9.1,9.6,8.5,9.0,9.4,9.6,8.6,9.8,가솔린,2024,경차,BMW,173.0
110,9.4,10.0,9.3,10.0,10.0,9.7,7.7,5.4,전기,2023,대형/프리미엄,렉서스,153.5
111,8.9,9.5,9.2,7.2,9.4,9.6,8.6,10.7,가솔린,2022,경차,BMW,159.0
114,8.6,9.5,9.0,8.7,9.1,8.5,7.1,6.3,전기,2018,대형/프리미엄,현대,153.5
115,8.6,9.3,8.4,8.2,9.6,9.3,7.0,10.2,가솔린,2019,경차,렉서스,170.0
116,8.9,9.2,8.8,9.4,9.1,9.0,7.7,12.2,디젤,2016,경차,현대,163.0
124,9.2,9.8,8.2,9.2,9.6,9.7,8.5,11.6,디젤,2024,경차,BMW,165.0
127,9.2,8.8,8.1,9.9,9.2,9.5,9.5,13.0,가솔린,2024,경차,현대,125.0
130,9.2,9.9,8.8,9.3,8.4,9.6,9.5,4.5,전기,2021,대형/프리미엄,테슬라,153.5
131,8.8,9.6,8.9,8.2,9.0,9.6,7.8,8.9,가솔린,2018,경차,BMW,153.5
134,8.8,9.0,8.8,8.2,8.8,8.6,9.8,22.4,가솔린,2018,경차,현대,69.0
135,7.5,9.0,7.7,7.7,8.2,7.6,7.0,3.1,전기,2023,대형/프리미엄,현대,153.5
136,8.2,9.4,8.4,6.4,7.7,9.4,7.9,13.1,가솔린,2018,경차,현대,127.0
140,8.5,8.7,9.0,8.0,8.2,8.2,8.8,13.4,가솔린,2017,경차,현대,118.5
144,8.8,9.2,8.1,9.0,8.7,8.1,9.5,19.1,가솔린,2020,경차,현대,81.0
148,9.7,9.9,9.2,9.7,9.9,9.9,9.6,12.5,디젤,2024,경차,BMW,153.0
152,9.2,9.6,9.5,8.5,10.0,9.5,7.9,10.1,가솔린,2018,경차,렉서스,170.0
153,9.1,9.1,8.5,9.1,9.7,9.4,8.8,9.3,가솔린,2020,경차,렉서스,186.0
155,8.8,9.2,8.1,9.0,8.7,8.1,9.5,19.1,가솔린,2021,경차,현대,81.0
157,8.8,9.4,8.6,8.6,9.8,8.9,7.7,9.6,가솔린,2014,경차,렉서스,185.0
158,8.2,9.7,6.8,8.3,10.0,9.7,4.5,7.9,가솔린,2016,경차,렉서스,222.0
162,9.0,9.5,8.6,8.3,9.2,9.4,8.6,11.0,가솔린,2023,경차,BMW,154.0
163,8.9,9.6,8.1,8.7,9.4,9.6,8.0,8.3,가솔린,2021,경차,메르세데스-벤츠,220.0
164,8.5,8.4,9.0,8.0,8.6,8.7,8.4,13.3,가솔린,2015,경차,기아,123.0
166,9.3,9.9,9.2,9.2,9.8,9.9,7.6,9.4,가솔린,2020,경차,BMW,183.0
167,9.5,9.9,9.2,9.5,9.7,9.8,8.7,4.1,전기,2022,대형/프리미엄,BMW,153.5
168,8.7,9.2,7.9,9.4,8.7,9.5,7.3,13.1,디젤,2024,경차,기아,146.0
169,8.9,9.6,8.1,8.7,9.4,9.6,8.0,11.5,가솔린,2021,경차,메르세데스-벤츠,150.0
170,8.6,8.9,8.8,8.5,8.6,8.7,8.1,13.8,디젤,2014,경차,현대,139.5
171,8.8,9.6,7.9,9.4,9.6,9.1,7.3,8.0,가솔린,2016,경차,렉서스,226.0
173,9.3,9.8,8.8,9.3,9.5,9.4,9.1,12.3,디젤,2022,경차,BMW,150.0
175,8.8,9.8,9.4,7.9,8.8,9.6,7.0,9.4,가솔린,2020,경차,BMW,184.0
185,8.6,8.8,8.5,9.0,8.6,8.3,8.3,13.2,가솔린,2019,경차,현대,124.5
187,9.2,10.0,7.7,10.0,10.0,10.0,7.3,10.9,가솔린,2020,경차,렉서스,155.0
188,8.9,9.5,9.2,7.2,9.4,9.6,8.6,10.7,가솔린,2023,경차,BMW,159.0
189,8.8,9.1,9.3,8.6,8.8,7.8,9.1,14.0,가솔린,2019,경차,현대,113.5
190,9.4,9.9,9.1,9.3,9.8,9.8,9.7,4.1,전기,2021,대형/프리미엄,메르세데스-벤츠,153.5
191,8.9,9.2,8.8,9.1,8.9,9.1,8.2,11.3,디젤,2018,경차,기아,157.5
192,8.9,9.3,8.2,9.2,9.5,9.5,7.5,8.8,가솔린,2018,경차,렉서스,198.0
193,9.2,9.8,8.7,9.2,9.4,9.8,8.3,4.2,전기,2023,대형/프리미엄,BMW,153.5
195,9.3,9.8,8.2,9.3,9.6,9.6,9.1,3.8,전기,2024,대형/프리미엄,BMW,153.5
198,8.9,9.3,8.2,9.2,9.5,9.5,7.5,9.6,가솔린,2024,경차,렉서스,175.0
199,8.4,8.6,8.7,8.5,8.3,8.6,7.6,11.9,가솔린,2014,경차,현대,144.5
200,8.2,8.9,7.6,8.7,8.2,8.8,6.9,10.0,디젤,2024,경차,현대,196.0
201,9.3,9.9,9.1,8.1,9.6,9.8,9.3,4.1,전기,2023,대형/프리미엄,BMW,153.5
202,8.9,9.6,8.1,8.7,9.4,9.6,8.0,10.8,가솔린,2024,경차,메르세데스-벤츠,159.0
204,8.8,10.0,9.1,9.4,10.0,9.9,4.4,7.6,가솔린,2015,경차,BMW,238.0
207,9.1,9.9,7.4,9.3,9.7,9.8,8.7,4.6,전기,2022,대형/프리미엄,제네시스,153.5
210,8.8,9.8,9.4,7.9,8.8,9.6,7.0,9.4,가솔린,2019,경차,BMW,184.0
211,8.9,10.0,7.8,10.0,10.0,10.0,5.8,6.9,가솔린,2015,경차,BMW,262.0
212,9.4,9.6,8.1,9.1,9.8,9.7,9.8,14.0,가솔린,2024,경차,렉서스,116.0
214,8.7,9.2,7.7,9.4,8.9,9.1,8.1,11.4,가솔린,2023,경차,현대,145.5
216,8.5,9.3,8.2,8.7,9.0,9.2,6.6,9.6,디젤,2019,경차,기아,205.0
218,8.8,9.4,8.5,7.5,9.0,9.7,8.4,15.6,디젤,2015,경차,BMW,119.5
221,9.3,10.0,10.0,8.0,10.0,10.0,8.0,10.8,가솔린,2024,경차,BMW,156.0
222,8.5,8.5,9.1,8.7,8.6,8.0,8.2,9.0,LPG,2014,경차,기아,145.0
226,9.0,10.0,10.0,8.0,8.0,10.0,8.0,7.3,가솔린,2021,경차,BMW,237.0
230,9.5,9.6,8.9,9.6,9.7,9.6,9.8,17.0,가솔린,2020,경차,렉서스,93.0
234,8.7,9.3,7.8,8.6,8.9,9.6,8.2,8.3,가솔린,2021,경차,메르세데스-벤츠,220.0
235,8.9,9.3,8.2,9.2,9.5,9.5,7.5,8.8,가솔린,2020,경차,렉서스,198.0
236,9.1,9.6,8.6,8.6,9.5,9.8,8.6,14.3,디젤,2015,경차,메르세데스-벤츠,138.0
238,8.8,9.5,8.6,9.4,9.3,9.4,6.7,7.2,가솔린,2018,경차,제네시스,239.0
244,9.3,9.7,8.2,8.6,9.8,9.7,9.7,16.7,가솔린,2024,경차,렉서스,93.0
248,8.8,9.5,8.6,9.4,9.3,9.4,6.7,7.2,가솔린,2017,경차,제네시스,239.0
249,8.3,8.2,7.8,8.3,8.4,8.9,8.1,15.7,가솔린,2022,경차,기아,104.0
251,9.2,9.5,9.1,9.3,9.0,9.7,8.6,14.2,디젤,2024,경차,메르세데스-벤츠,133.0
252,8.9,9.6,8.2,8.1,8.9,9.7,8.6,13.9,디젤,2022,경차,메르세데스-벤츠,137.0
253,7.5,8.3,7.6,7.3,7.6,7.5,6.6,6.5,LPG,2024,경차,현대,196.5
257,9.2,9.9,8.8,9.3,8.4,9.6,9.5,4.8,전기,2023,대형/프리미엄,테슬라,153.5
258,8.5,9.7,8.7,8.5,8.4,9.8,6.0,10.8,가솔린,2021,경차,기아,153.5
260,8.6,9.1,8.1,8.9,8.8,9.5,7.3,11.8,가솔린,2023,경차,기아,136.0
261,8.9,9.5,9.3,9.5,9.2,9.1,6.7,8.7,가솔린,2020,경차,기아,199.0
264,9.1,9.8,8.5,8.6,9.4,9.7,8.7,10.8,가솔린,2023,경차,BMW,155.0
265,8.7,8.9,8.8,8.7,8.8,8.7,8.2,14.4,디젤,2014,경차,기아,137.0
266,8.7,9.4,9.0,9.5,9.2,8.5,6.6,8.6,가솔린,2017,경차,기아,196.0
268,8.9,9.2,8.8,9.1,8.9,9.1,8.2,12.0,디젤,2019,경차,기아,149.0
271,9.4,9.9,8.9,9.7,9.2,9.1,9.6,3.8,전기,2023,대형/프리미엄,메르세데스-벤츠,153.5
276,8.8,8.7,9.4,8.9,8.7,9.3,7.9,11.6,가솔린,2022,경차,르노코리아,143.0
280,8.2,9.4,7.7,7.3,7.7,8.0,8.8,5.6,전기,2018,대형/프리미엄,현대,153.5
282,7.5,9.0,7.7,7.7,8.2,7.6,7.0,3.1,전기,2024,대형/프리미엄,현대,153.5
285,8.9,9.4,8.8,9.4,9.2,9.4,6.9,7.4,가솔린,2015,경차,현대,244.0
287,9.2,9.3,8.8,9.4,9.1,9.3,9.6,16.2,가솔린,2019,경차,기아,97.0
288,8.9,9.5,9.2,9.6,9.4,8.9,6.8,9.5,가솔린,2016,경차,현대,188.0
289,8.5,9.3,8.2,8.7,9.0,9.2,6.6,9.8,디젤,2018,경차,기아,195.0
291,9.0,10.0,9.1,9.8,9.0,9.4,7.0,3.7,전기,2024,대형/프리미엄,현대,153.5
292,7.8,8.7,8.2,6.4,7.5,9.3,6.8,12.4,가솔린,2015,경차,현대,134.5
294,7.3,9.2,5.4,6.6,6.1,8.0,8.8,3.6,전기,2024,대형/프리미엄,현대,153.5
295,7.5,8.3,7.6,7.3,7.6,7.5,6.6,9.0,디젤,2020,경차,현대,205.5
298,8.5,9.4,7.9,9.0,8.9,9.1,6.5,7.2,가솔린,2021,경차,제네시스,241.0
300,9.2,9.4,8.5,9.5,9.5,9.2,8.9,8.9,가솔린,2020,경차,렉서스,193.0
301,8.5,9.3,7.7,7.7,8.9,9.4,8.2,13.0,가솔린,2016,경차,현대,127.0
302,9.1,9.3,9.0,9.0,9.1,9.6,8.9,14.1,가솔린,2023,경차,기아,112.5
305,9.2,10.0,7.7,10.0,10.0,10.0,7.3,7.9,가솔린,2023,경차,렉서스,220.0
306,8.9,9.3,8.3,8.3,9.1,9.7,8.6,0.0,디젤,2014,경차,BMW,153.5
308,8.6,9.0,8.1,8.8,8.4,9.7,7.8,13.2,가솔린,2022,경차,기아,124.5
309,8.6,9.3,8.4,8.2,9.6,9.3,7.0,10.2,가솔린,2014,경차,렉서스,174.0
310,9.1,9.7,8.9,8.1,9.4,9.6,8.9,11.2,가솔린,2024,경차,BMW,151.0
311,9.0,9.7,9.3,9.7,9.4,9.1,6.7,8.7,가솔린,2024,경차,기아,199.0
312,8.4,8.8,8.3,9.0,8.5,9.0,7.1,10.3,디젤,2020,경차,기아,189.0
313,8.5,9.9,8.1,8.4,9.0,9.4,6.0,6.7,가솔린,2020,경차,BMW,258.0
314,9.1,9.6,8.9,8.7,9.2,9.5,8.7,16.1,디젤,2015,경차,BMW,120.0
315,9.0,9.8,8.2,8.6,9.4,9.9,7.9,10.9,디젤,2022,경차,BMW,181.0
316,9.2,10.0,7.7,10.0,10.0,10.0,7.3,7.5,가솔린,2023,경차,렉서스,230.0
319,9.2,9.7,8.9,8.3,9.3,9.6,9.2,18.5,디젤,2014,경차,BMW,103.0
320,9.2,9.6,8.5,9.7,9.4,9.3,8.6,8.2,가솔린,2022,경차,제네시스,209.0
321,8.1,7.9,8.6,8.0,8.0,8.0,8.2,15.0,가솔린,2015,경차,르노코리아,114.0
322,8.5,9.6,7.7,7.9,8.7,9.5,7.7,13.6,디젤,2022,경차,BMW,140.0
323,9.0,9.9,8.8,8.7,7.9,9.4,9.3,5.7,전기,2024,대형/프리미엄,테슬라,153.5
325,9.5,9.6,8.9,9.6,9.7,9.6,9.8,17.2,가솔린,2023,경차,렉서스,91.0
327,9.4,9.5,9.2,9.6,9.8,8.9,9.4,10.2,가솔린,2014,경차,렉서스,173.0
329,9.0,9.5,8.1,9.4,9.1,9.6,8.6,12.0,가솔린,2024,경차,현대,130.5
330,8.4,9.6,8.0,8.1,9.1,9.0,6.9,8.3,가솔린,2021,경차,BMW,208.0
331,8.3,9.6,7.9,7.8,9.1,9.4,6.2,10.9,가솔린,2023,경차,제네시스,154.0
333,8.9,9.4,6.7,9.0,9.1,9.5,9.4,18.1,가솔린,2023,경차,현대,83.0
334,9.0,9.2,8.0,8.9,8.7,9.7,9.5,19.1,가솔린,2022,경차,기아,81.0
335,9.1,9.8,8.5,8.6,9.4,9.7,8.7,11.2,가솔린,2023,경차,BMW,149.0
336,8.7,9.6,7.7,8.0,8.7,9.9,8.1,9.0,가솔린,2022,경차,메르세데스-벤츠,194.0
337,9.3,9.9,9.1,8.1,9.6,9.8,9.3,4.6,전기,2023,대형/프리미엄,BMW,153.5
338,9.1,9.9,8.9,8.1,9.3,9.7,8.5,9.1,가솔린,2019,경차,BMW,187.0
339,9.1,9.8,8.4,9.1,9.2,9.5,8.7,10.5,디젤,2017,경차,BMW,185.0
340,8.6,9.3,8.4,8.2,9.6,9.3,7.0,10.2,가솔린,2017,경차,렉서스,170.0
344,8.5,9.4,9.0,6.2,8.8,9.6,8.2,9.5,가솔린,2018,경차,메르세데스-벤츠,184.0
345,8.6,8.9,8.9,8.7,8.7,8.5,7.8,15.8,디젤,2021,경차,기아,116.0
347,9.2,9.3,8.9,8.9,9.6,9.6,9.0,12.1,가솔린,2024,경차,메르세데스-벤츠,139.0
351,8.5,9.6,7.7,7.9,8.7,9.5,7.7,9.8,가솔린,2023,경차,BMW,174.0
353,8.2,9.8,8.1,8.8,8.7,9.8,4.3,7.7,가솔린,2024,경차,BMW,224.0
355,8.7,9.8,7.4,8.4,9.2,10.0,7.2,6.3,가솔린,2023,경차,메르세데스-벤츠,279.0
356,9.2,9.5,9.1,9.3,9.0,9.7,8.6,9.5,가솔린,2021,경차,메르세데스-벤츠,188.0
358,8.9,9.4,8.7,9.6,9.2,9.5,7.1,12.0,디젤,2024,경차,현대,156.5
359,9.1,9.8,7.2,9.6,9.2,9.7,9.4,4.2,전기,2024,대형/프리미엄,기아,153.5
360,8.8,8.9,9.1,8.4,8.6,9.1,8.7,13.1,가솔린,2017,경차,현대,121.0
363,8.7,9.2,8.4,8.2,8.9,9.4,8.1,5.8,가솔린,2016,경차,메르세데스-벤츠,306.0
364,8.5,9.2,8.2,9.2,9.0,9.4,6.0,8.3,가솔린,2017,경차,제네시스,195.5
366,8.9,9.3,8.3,8.3,9.1,9.7,8.6,11.4,디젤,2017,경차,BMW,153.5
367,9.2,10.0,7.7,10.0,10.0,10.0,7.3,10.9,가솔린,2021,경차,렉서스,155.0
369,8.9,9.8,8.5,8.8,9.6,9.8,6.5,5.4,기타,2017,대형/프리미엄,BMW,153.5
370,8.4,8.8,8.5,8.9,8.4,8.9,7.2,10.3,디젤,2017,경차,기아,196.5
371,8.8,9.5,8.6,9.4,9.3,9.4,6.7,8.5,가솔린,2017,경차,제네시스,203.0
372,9.3,9.7,8.2,8.6,9.8,9.7,9.7,16.7,가솔린,2019,경차,렉서스,95.0
375,9.2,9.7,8.9,8.3,9.3,9.6,9.2,15.8,디젤,2016,경차,BMW,124.0
376,8.4,8.8,8.3,9.0,8.5,9.0,7.1,10.3,디젤,2019,경차,기아,189.0
377,9.2,9.4,8.5,9.5,9.5,9.2,8.9,12.8,가솔린,2021,경차,렉서스,129.0
378,9.2,9.6,9.5,8.5,10.0,9.5,7.9,12.7,가솔린,2016,경차,렉서스,132.0
379,8.8,8.9,8.9,8.5,8.5,9.1,9.0,14.1,가솔린,2021,경차,기아,112.5
380,8.6,8.7,8.7,8.9,8.5,9.1,7.7,11.6,가솔린,2019,경차,기아,140.0
381,9.0,9.1,9.2,8.7,8.6,9.4,9.0,13.3,가솔린,2019,경차,현대,123.0
383,9.2,9.2,8.3,8.8,9.6,9.4,9.7,17.0,가솔린,2020,경차,렉서스,93.0
384,8.9,10.0,7.8,10.0,10.0,10.0,5.8,6.7,가솔린,2019,경차,BMW,262.0
385,8.7,8.4,7.7,8.7,8.5,9.7,9.0,15.1,가솔린,2023,경차,기아,108.0
388,9.1,9.9,8.9,8.1,9.3,9.7,8.5,9.6,가솔린,2015,경차,BMW,185.0
389,9.1,9.1,8.5,9.1,9.7,9.4,8.8,9.3,가솔린,2020,경차,렉서스,186.0
390,8.8,9.4,8.5,7.5,9.0,9.7,8.4,11.1,가솔린,2019,경차,BMW,154.0
394,8.0,8.5,8.2,8.2,8.0,8.2,6.9,9.8,디젤,2016,경차,현대,192.0
400,8.8,9.1,8.7,9.1,8.8,9.1,8.1,12.9,디젤,2016,경차,기아,150.0
406,9.0,9.5,8.8,8.6,9.1,9.5,8.7,9.8,가솔린,2020,경차,BMW,175.0
407,9.2,10.0,7.7,10.0,10.0,10.0,7.3,7.7,가솔린,2024,경차,렉서스,226.0
409,9.1,9.1,8.9,9.3,8.9,9.3,9.1,17.7,가솔린,2015,경차,현대,92.5
413,8.8,9.4,8.6,8.6,9.8,8.9,7.7,9.9,가솔린,2014,경차,렉서스,180.0
417,9.1,9.5,8.5,9.4,9.2,8.7,9.3,14.3,가솔린,2023,경차,현대,110.0
420,8.9,9.5,9.2,9.6,9.4,8.9,6.8,9.5,가솔린,2015,경차,현대,188.0
423,8.8,9.4,8.5,7.5,9.0,9.7,8.4,11.1,가솔린,2019,경차,BMW,155.0
425,9.0,9.5,8.8,8.6,9.1,9.5,8.7,12.0,디젤,2019,경차,BMW,159.0
426,8.2,8.9,7.6,8.7,8.2,8.8,6.9,11.3,디젤,2021,경차,현대,164.0
427,8.6,9.0,8.1,8.8,8.4,9.7,7.8,13.2,가솔린,2021,경차,기아,124.0
429,8.0,8.5,8.2,8.2,8.0,8.2,6.9,9.5,디젤,2014,경차,현대,198.5
431,9.7,9.9,9.2,9.7,9.9,9.9,9.6,10.7,가솔린,2023,경차,BMW,156.0
435,8.6,9.2,8.5,7.8,8.7,9.7,8.1,18.0,디젤,2015,경차,메르세데스-벤츠,107.0
438,9.2,9.4,8.7,9.5,9.3,9.0,9.3,15.2,가솔린,2022,경차,현대,102.5
439,8.8,9.1,8.4,8.8,8.7,9.6,8.3,11.8,가솔린,2019,경차,기아,137.5
443,8.0,8.6,8.4,8.5,8.4,8.6,5.6,10.2,가솔린,2014,경차,르노코리아,174.0
446,9.4,9.8,8.2,9.6,9.7,9.5,9.8,4.2,전기,2023,대형/프리미엄,메르세데스-벤츠,153.5
448,8.8,8.9,9.1,8.1,8.3,9.5,8.6,13.4,가솔린,2020,경차,르노코리아,123.0
449,8.8,9.4,6.9,9.3,9.3,9.8,8.0,14.6,디젤,2024,경차,BMW,121.0
450,8.5,9.4,8.2,7.9,8.6,8.8,7.9,12.7,가솔린,2021,경차,현대,125.0
451,9.5,9.6,8.9,9.6,9.7,9.6,9.8,14.0,가솔린,2022,경차,렉서스,114.0
452,8.4,8.8,8.5,8.9,8.4,8.9,7.2,11.2,디젤,2015,경차,기아,179.0
453,8.5,9.2,8.2,9.2,9.0,9.4,5.7,9.2,가솔린,2015,경차,제네시스,191.5
456,8.9,9.8,8.5,8.8,9.6,9.8,6.5,5.9,기타,2014,대형/프리미엄,BMW,153.5
459,9.0,9.2,8.0,9.4,8.8,9.6,9.0,14.3,가솔린,2020,경차,기아,110.5
462,8.7,9.0,8.0,9.0,8.8,9.1,8.6,11.4,가솔린,2015,경차,현대,150.5
463,8.7,9.6,8.0,8.3,9.2,9.9,6.9,7.0,가솔린,2021,경차,메르세데스-벤츠,248.0
466,8.6,8.7,8.7,8.9,8.5,9.1,7.7,11.6,가솔린,2018,경차,기아,140.0
467,7.1,8.8,7.4,7.2,7.7,7.5,6.0,9.0,디젤,2020,경차,기아,205.5
468,9.0,9.3,7.9,9.4,9.2,9.7,8.6,13.0,가솔린,2024,경차,기아,124.5
470,8.7,9.2,7.8,8.2,8.9,8.5,9.5,17.4,가솔린,2021,경차,현대,87.0
471,8.6,9.2,8.4,8.7,9.2,9.4,6.6,10.7,디젤,2015,경차,기아,189.0
475,8.7,9.6,7.7,8.0,8.7,9.9,8.1,9.0,가솔린,2023,경차,메르세데스-벤츠,194.0
476,8.7,10.0,8.9,8.1,9.6,9.9,5.5,6.8,가솔린,2022,경차,BMW,256.0
480,8.2,9.4,7.7,7.3,7.7,8.0,8.8,5.6,전기,2020,대형/프리미엄,현대,153.5
484,8.7,9.2,7.9,9.4,8.7,9.5,7.3,11.7,디젤,2024,경차,기아,165.0
485,8.9,9.6,8.2,9.5,8.8,9.4,7.7,10.4,디젤,2024,경차,메르세데스-벤츠,187.0
486,9.2,9.9,7.7,8.7,9.7,9.8,9.4,4.3,전기,2021,대형/프리미엄,제네시스,153.5
