,종합점수,주행,가격,거주성,품질,디자인,연비_y,복합연비,연료,연도,차급,브랜드,CO₂ 배출량
0,8.8,8.6,9.1,9.2,8.9,9.1,7.7,11.9,가솔린,2017,경차,기아,146.0
5,9.0,9.9,8.8,8.7,7.9,9.4,9.3,5.7,전기,2023,대형/프리미엄,테슬라,153.5
7,9.1,9.7,8.9,8.1,9.4,9.6,8.9,9.6,가솔린,2022,경차,BMW,177.0
8,8.8,9.4,8.1,8.8,9.1,9.5,8.2,11.1,디젤,2016,경차,메르세데스-벤츠,173.0
10,8.6,9.2,8.5,7.8,8.7,9.7,8.1,11.5,가솔린,2018,경차,메르세데스-벤츠,151.0
11,8.8,9.6,7.9,9.4,9.6,9.1,7.3,8.0,가솔린,2015,경차,렉서스,226.0
15,9.4,9.5,9.2,9.6,9.8,8.9,9.4,10.2,가솔린,2016,경차,렉서스,173.0
16,9.0,10.0,10.0,8.0,8.0,10.0,8.0,7.6,가솔린,2023,경차,BMW,230.0
18,9.6,9.9,8.3,9.8,9.8,9.6,10.0,3.6,전기,2023,대형/프리미엄,BMW,153.5
19,9.3,9.7,8.2,8.6,9.8,9.7,9.7,14.0,가솔린,2022,경차,렉서스,114.0
20,8.9,9.4,7.5,9.1,9.2,9.8,8.6,14.1,디젤,2023,경차,메르세데스-벤츠,134.0
21,8.7,8.9,8.2,9.2,8.6,9.5,7.9,12.0,가솔린,2023,경차,현대,136.0
22,9.2,9.8,8.2,9.2,9.6,9.7,8.5,10.0,디젤,2021,경차,BMW,195.0
24,9.3,9.9,9.1,8.1,9.6,9.8,9.3,4.1,전기,2024,대형/프리미엄,BMW,153.5
25,8.5,9.5,8.3,8.5,8.8,7.2,9.0,5.3,전기,2018,대형/프리미엄,기아,153.5
28,9.3,9.8,8.9,9.5,8.7,9.5,9.4,5.1,전기,2024,대형/프리미엄,테슬라,153.5
30,9.2,9.8,7.8,9.7,9.3,9.3,9.6,5.1,전기,2024,대형/프리미엄,현대,153.5
31,8.5,9.4,7.9,9.0,8.9,9.1,6.5,8.8,가솔린,2021,경차,제네시스,196.0
